"9603る 2409 ね笷             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 96/03/01","55,807,260","2,590,990,871","46.55","46.95","46.00","46.60","-1.10","12,759",
" 96/03/02","25,911,809","1,202,371,982","46.30","46.75","46.25","46.25","-0.35","7,059",
" 96/03/03","19,917,692","913,337,054","46.00","46.45","45.60","45.65","-0.60","5,868",
" 96/03/05","43,324,045","1,952,172,245","45.20","45.50","44.35","44.90","-0.75","8,523",
" 96/03/06","22,890,257","1,039,406,725","45.60","45.80","45.10","45.55","+0.65","5,707",
" 96/03/07","26,925,334","1,219,279,624","45.70","45.80","45.00","45.10","-0.45","6,410",
" 96/03/08","52,308,682","2,428,255,347","45.80","46.85","45.80","46.80","+1.70","10,678",
" 96/03/09","52,414,316","2,488,274,457","47.70","47.85","47.00","47.45","+0.65","13,896",
" 96/03/12","43,463,052","2,074,701,459","47.70","48.10","47.35","47.40","-0.05","8,252",
" 96/03/13","23,008,303","1,096,266,335","47.60","48.00","47.50","47.55","+0.15","4,931",
" 96/03/14","31,377,622","1,448,483,262","46.00","46.40","46.00","46.00","-1.55","8,784",
" 96/03/15","29,816,954","1,389,113,072","46.05","46.85","46.05","46.80","+0.80","10,690",
" 96/03/16","22,961,758","1,066,620,346","46.80","46.80","46.10","46.55","-0.25","6,062",
" 96/03/19","71,447,494","3,416,370,462","46.70","48.80","46.35","48.10","+1.55","16,549",
" 96/03/20","62,699,233","3,049,234,388","49.00","49.05","48.15","48.35","+0.25","14,224",
" 96/03/21","28,887,580","1,389,834,690","48.50","48.60","47.80","48.30","-0.05","8,360",
" 96/03/22","30,208,085","1,459,942,226","48.45","48.75","48.00","48.00","-0.30","6,679",
" 96/03/23","31,851,993","1,529,519,717","48.00","48.20","47.80","48.00"," 0.00","5,396",
" 96/03/26","26,724,657","1,286,449,278","48.20","48.40","47.90","48.40","+0.40","5,776",
" 96/03/27","31,860,087","1,523,486,190","47.90","48.15","47.45","47.60","-0.80","6,284",
" 96/03/28","46,429,173","2,152,496,208","46.80","46.90","46.05","46.25","-1.35","9,233",
" 96/03/29","37,894,578","1,771,302,026","46.00","47.20","46.00","47.00","+0.75","6,107",
" 96/03/30","19,435,296","905,881,087","47.00","47.30","46.65","47.30","+0.30","4,452",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

