"106年08月 2409 友達             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/08/01","51,161,674","626,747,796","12.25","12.30","12.20","12.25","+0.05","6,987",
"106/08/02","74,273,015","900,282,416","12.15","12.20","12.05","12.10","-0.15","8,537",
"106/08/03","54,966,545","664,416,865","12.10","12.15","12.05","12.10"," 0.00","7,202",
"106/08/04","78,078,831","948,911,439","12.05","12.30","12.00","12.20","+0.10","8,415",
"106/08/07","70,691,740","855,794,712","12.10","12.20","12.05","12.05","-0.15","7,055",
"106/08/08","70,825,350","852,734,450","12.10","12.10","12.00","12.00","-0.05","8,210",
"106/08/09","107,378,569","1,278,107,833","12.00","12.05","11.80","11.80","-0.20","13,151",
"106/08/10","77,364,239","910,681,315","11.80","11.95","11.70","11.70","-0.10","9,356",
"106/08/11","120,913,742","1,440,820,749","11.70","12.00","11.70","12.00","+0.30","9,749",
"106/08/14","59,040,806","703,697,915","12.00","12.05","11.80","11.80","-0.20","7,353",
"106/08/15","84,180,714","1,009,105,391","11.95","12.05","11.90","11.90","+0.10","7,865",
"106/08/16","89,977,746","1,053,101,393","11.75","11.80","11.60","11.70","-0.20","11,821",
"106/08/17","108,682,696","1,292,349,185","11.75","12.00","11.75","11.95","+0.25","11,280",
"106/08/18","38,122,810","450,264,983","11.85","11.90","11.75","11.80","-0.15","7,027",
"106/08/21","81,250,483","973,964,434","11.85","12.05","11.80","12.00","+0.20","9,792",
"106/08/22","146,249,170","1,792,253,284","12.15","12.30","12.15","12.30","+0.30","16,495",
"106/08/23","86,434,009","1,053,301,322","12.35","12.35","12.10","12.10","-0.20","11,079",
"106/08/24","68,811,284","832,365,054","12.10","12.20","12.05","12.10"," 0.00","9,209",
"106/08/25","72,905,278","882,821,826","12.15","12.20","12.05","12.15","+0.05","9,480",
"106/08/28","160,021,413","1,975,823,087","12.25","12.45","12.25","12.35","+0.20","15,702",
"106/08/29","55,593,494","682,020,518","12.35","12.40","12.20","12.25","-0.10","7,677",
"106/08/30","94,712,907","1,166,502,346","12.25","12.40","12.20","12.35","+0.10","11,108",
"106/08/31","79,196,062","980,822,407","12.40","12.45","12.30","12.40","+0.05","9,062",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

