"9801る 2412 い地筿           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 98/01/05","44,146,472","2,279,377,138","52.00","52.40","51.10","51.20","-2.30","14,658",
" 98/01/06","49,349,890","2,504,905,790","50.70","51.20","50.50","50.60","-0.60","16,614",
" 98/01/07","76,085,606","3,848,010,119","50.50","50.90","50.30","50.50","-0.10","23,175",
" 98/01/08","57,899,101","2,909,494,847","50.10","50.90","50.00","50.00","-0.50","16,689",
" 98/01/09","19,143,461","965,617,689","50.20","50.70","50.10","50.30","+0.30","6,149",
" 98/01/10","14,095,808","715,348,197","50.40","50.90","50.40","50.80","+0.50","4,334",
" 98/01/12","53,381,923","2,762,163,805","51.00","52.00","51.00","51.60","+0.80","16,855",
" 98/01/13","31,168,786","1,620,411,041","52.00","52.20","51.70","52.00","+0.40","9,513",
" 98/01/14","17,244,419","892,104,360","51.90","52.00","51.50","51.50","-0.50","5,556",
" 98/01/15","37,807,337","1,929,378,333","50.90","51.50","50.60","50.90","-0.60","8,976",
" 98/01/16","17,100,318","872,898,356","51.30","51.30","50.80","51.20","+0.30","4,271",
" 98/01/17","5,728,550","293,528,985","51.30","51.40","51.10","51.20"," 0.00","1,751",
" 98/01/19","11,781,867","602,080,577","51.30","51.40","50.90","51.10","-0.10","3,937",
" 98/01/20","26,109,678","1,334,123,330","51.10","51.50","50.80","51.10"," 0.00","4,607",
" 98/01/21","29,457,152","1,512,208,606","50.70","51.80","50.70","51.10"," 0.00","7,977",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

