"10310る 2439              らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/10/01","3,710,942","532,640,670","141.50","145.00","141.00","143.50","+2.00","2,755",
"103/10/02","4,464,600","625,110,396","142.00","143.00","137.00","141.00","-2.50","2,974",
"103/10/03","4,633,519","676,684,831","145.50","147.50","144.50","145.00","+4.00","3,214",
"103/10/06","3,677,380","548,768,380","147.00","151.00","147.00","151.00","+6.00","2,778",
"103/10/07","3,039,570","446,680,790","150.50","150.50","145.00","146.00","-5.00","2,197",
"103/10/08","4,356,328","622,396,296","144.00","146.50","141.00","141.00","-5.00","3,117",
"103/10/09","10,669,478","1,435,649,340","143.50","144.00","131.50","131.50","-9.50","6,932",
"103/10/13","5,536,916","688,536,619","124.00","128.00","122.50","123.50","-8.00","3,506",
"103/10/14","7,421,440","905,062,889","123.50","127.00","118.00","122.50","-1.00","4,877",
"103/10/15","4,568,607","552,737,033","124.00","124.50","118.00","119.00","-3.50","3,211",
"103/10/16","8,503,979","978,208,627","117.00","119.50","112.00","113.50","-5.50","5,555",
"103/10/17","10,022,014","1,095,726,984","114.50","116.00","106.00","106.00","-7.50","5,755",
"103/10/20","8,520,630","949,346,560","109.00","113.00","108.00","113.00","+7.00","4,561",
"103/10/21","7,137,294","828,609,604","113.50","118.50","113.00","116.00","+3.00","4,871",
"103/10/22","6,409,610","755,966,063","119.00","120.50","115.00","115.50","-0.50","4,176",
"103/10/23","3,416,666","393,270,418","115.00","116.50","114.00","115.50"," 0.00","2,234",
"103/10/24","3,370,086","388,788,390","116.00","117.50","114.00","114.00","-1.50","2,169",
"103/10/27","5,764,992","627,825,143","115.00","115.50","106.50","106.50","-7.50","4,077",
"103/10/28","4,530,440","504,323,436","109.00","113.50","108.00","113.50","+7.00","3,362",
"103/10/29","6,186,672","741,232,812","116.00","121.00","116.00","121.00","+7.50","3,420",
"103/10/30","9,520,610","1,121,576,150","122.00","123.00","114.00","114.50","-6.50","5,994",
"103/10/31","10,186,706","1,220,864,481","116.50","122.50","114.50","122.50","+8.00","6,267",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

