"106年12月 2439 美律             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/12/01","7,557,019","1,615,865,066","223.00","223.00","208.00","212.00","-8.50","5,237",
"106/12/04","3,413,611","740,113,111","213.00","221.50","211.50","219.50","+7.50","2,556",
"106/12/05","4,537,284","967,130,924","216.50","219.00","209.00","210.00","-9.50","3,645",
"106/12/06","8,345,014","1,681,737,328","210.00","212.00","192.50","197.00","-13.00","6,065",
"106/12/07","5,464,706","1,086,494,048","200.00","204.00","194.00","200.00","+3.00","3,761",
"106/12/08","3,339,475","671,379,350","200.50","204.00","196.50","202.00","+2.00","2,388",
"106/12/11","4,343,934","919,349,376","208.50","214.50","207.00","214.00","+12.00","3,185",
"106/12/12","2,366,550","496,390,324","213.50","213.50","207.00","207.00","-7.00","1,815",
"106/12/13","2,214,839","462,013,190","206.50","211.00","205.50","209.50","+2.50","1,752",
"106/12/14","1,692,601","355,751,687","209.50","213.00","207.50","207.50","-2.00","1,389",
"106/12/15","5,474,840","1,098,327,794","207.50","208.50","198.00","200.00","-7.50","3,985",
"106/12/18","3,451,543","683,659,186","203.00","203.00","193.00","199.00","-1.00","2,593",
"106/12/19","2,017,993","400,464,100","201.00","201.50","196.00","197.00","-2.00","1,644",
"106/12/20","2,506,606","502,666,714","198.50","202.50","197.50","201.00","+4.00","1,980",
"106/12/21","2,155,365","436,720,825","203.00","204.50","201.50","203.00","+2.00","1,732",
"106/12/22","1,976,683","399,922,435","204.00","206.00","200.50","200.50","-2.50","1,574",
"106/12/25","1,898,739","375,640,561","201.00","201.50","195.00","197.50","-3.00","1,479",
"106/12/26","4,169,683","801,901,953","198.50","199.00","187.50","190.00","-7.50","3,278",
"106/12/27","1,757,102","335,350,424","189.50","193.50","189.00","190.50","+0.50","1,506",
"106/12/28","2,033,083","395,879,268","192.50","196.50","192.00","196.00","+5.50","1,659",
"106/12/29","2,445,764","482,627,744","197.50","201.50","194.50","194.50","-1.50","1,743",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

