"94年02月 2448 晶電             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 94/02/01","4,276,547","166,342,311","39.20","39.30","38.50","38.60","-0.20","1,382",
" 94/02/02","5,562,442","217,355,065","39.10","39.50","38.60","38.60"," 0.00","1,766",
" 94/02/03","4,119,488","160,951,529","39.00","39.40","38.50","39.00","+0.40","1,442",
" 94/02/14","3,486,000","135,712,500","39.70","39.70","38.30","38.50","-0.50","1,348",
" 94/02/15","6,585,277","259,455,905","38.90","39.90","38.30","39.40","+0.90","2,482",
" 94/02/16","10,128,175","412,008,252","39.60","41.90","39.20","41.50","+2.10","3,423",
" 94/02/17","9,165,101","382,229,127","41.50","42.30","41.10","41.20","-0.30","3,237",
" 94/02/18","4,824,718","199,591,916","41.10","41.80","40.80","41.30","+0.10","1,825",
" 94/02/21","5,688,066","238,452,940","41.80","42.90","41.20","41.20","-0.10","2,124",
" 94/02/22","3,582,249","147,381,904","41.00","41.90","40.50","40.50","-0.70","1,410",
" 94/02/23","4,063,807","165,664,113","40.00","41.60","39.70","41.50","+1.00","1,720",
" 94/02/24","3,545,868","145,341,425","41.50","41.90","40.00","40.30","-1.20","1,462",
" 94/02/25","9,885,616","409,176,737","40.40","41.90","40.40","41.80","+1.50","3,202",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

