"10406る 2449 ㄊじ筿         らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/06/01","6,007,957","167,448,246","27.60","28.15","27.45","28.15","+0.70","1,907",
"104/06/02","7,808,835","221,282,978","28.20","28.70","28.05","28.05","-0.10","2,737",
"104/06/03","2,830,145","79,215,432","28.00","28.15","27.85","28.00","-0.05","1,315",
"104/06/04","4,636,437","128,258,644","28.05","28.30","27.25","27.30","-0.70","2,272",
"104/06/05","3,249,813","88,030,614","27.40","27.60","26.40","27.45","+0.15","1,501",
"104/06/08","8,692,633","244,464,572","27.00","28.50","27.00","28.40","+0.95","3,939",
"104/06/09","5,185,405","142,872,209","28.30","28.35","26.60","26.60","-1.80","2,294",
"104/06/10","3,116,428","84,107,696","27.00","27.15","26.85","27.10","+0.50","1,499",
"104/06/11","4,425,005","119,789,330","27.30","27.35","26.85","26.90","-0.20","1,535",
"104/06/12","2,519,021","68,358,820","26.90","27.50","26.85","27.50","+0.60","1,169",
"104/06/15","3,477,696","95,903,956","27.65","27.85","27.25","27.25","-0.25","1,325",
"104/06/16","3,066,631","82,718,717","27.25","27.30","26.85","26.90","-0.35","1,288",
"104/06/17","2,651,915","71,353,660","26.90","27.10","26.60","27.00","+0.10","1,618",
"104/06/18","2,947,367","80,933,381","27.30","27.60","27.30","27.35","+0.35","1,320",
"104/06/22","3,342,087","91,148,812","27.35","27.55","27.10","27.15","-0.20","1,739",
"104/06/23","3,774,071","103,266,517","27.20","27.60","27.15","27.25","+0.10","1,749",
"104/06/24","2,633,123","71,742,547","27.45","27.45","27.15","27.25"," 0.00","1,624",
"104/06/25","7,497,617","209,159,621","27.50","28.30","27.30","28.00","+0.75","3,076",
"104/06/26","5,186,086","144,926,417","28.35","28.35","27.60","27.65","-0.35","2,155",
"104/06/29","4,346,271","117,984,689","27.50","27.55","26.85","27.20","-0.45","2,261",
"104/06/30","4,073,730","110,211,992","26.85","27.30","26.85","26.95","-0.25","2,190",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

