"106年09月 2449 京元電子         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/09/01","2,001,102","58,097,539","29.30","29.30","28.95","28.95","-0.30","996",
"106/09/04","1,546,301","45,008,452","29.05","29.30","28.95","29.15","+0.20","798",
"106/09/05","4,390,854","128,288,878","29.15","29.35","29.00","29.35","+0.20","1,428",
"106/09/06","7,948,535","233,585,664","29.45","29.55","29.20","29.20","-0.15","2,672",
"106/09/07","2,433,048","71,280,735","29.50","29.50","29.20","29.20"," 0.00","1,280",
"106/09/08","11,417,138","339,135,314","29.40","30.10","29.05","30.05","+0.85","4,380",
"106/09/11","5,642,406","168,467,175","30.20","30.40","29.65","29.65","-0.40","3,355",
"106/09/12","3,866,571","115,115,254","29.70","29.95","29.60","29.95","+0.30","1,728",
"106/09/13","12,785,635","390,077,639","30.20","30.95","29.90","30.70","+0.75","5,054",
"106/09/14","11,568,416","359,812,875","31.00","31.45","30.65","31.15","+0.45","5,059",
"106/09/15","6,750,870","208,437,356","31.15","31.15","30.40","31.00","-0.15","1,816",
"106/09/18","12,689,979","402,296,266","31.10","32.20","31.10","31.75","+0.75","3,891",
"106/09/19","10,785,937","336,266,757","31.90","32.10","30.50","30.65","-1.10","4,289",
"106/09/20","8,513,624","262,733,866","30.85","31.25","30.40","31.10","+0.45","3,411",
"106/09/21","6,171,811","190,677,297","31.00","31.05","30.70","31.00","-0.10","3,257",
"106/09/22","5,655,399","172,635,749","31.05","31.15","30.30","30.35","-0.65","2,340",
"106/09/25","4,564,242","137,972,310","30.50","30.65","29.90","30.20","-0.15","2,352",
"106/09/26","7,665,050","228,079,166","30.20","30.30","29.35","29.35","-0.85","3,720",
"106/09/27","4,425,147","133,094,817","29.55","30.55","29.55","30.20","+0.85","2,360",
"106/09/28","3,685,153","109,653,322","30.50","30.50","29.45","29.60","-0.60","1,876",
"106/09/29","4,509,549","132,588,847","29.60","29.75","29.00","29.75","+0.15","1,990",
"106/09/30","1,549,208","46,110,281","29.80","30.05","29.55","29.75"," 0.00","1,055",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

