"95年09月 2451 創見             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 95/09/01","9,727,832","829,005,829","81.80","86.80","81.50","86.80","+5.60","4,211",
" 95/09/04","10,818,375","992,492,205","88.20","92.80","88.00","92.80","+6.00","4,124",
" 95/09/05","5,280,339","487,215,988","94.10","94.30","90.00","92.30","-0.50","2,801",
" 95/09/06","2,878,511","263,541,901","91.50","92.70","90.10","91.50","-0.80","1,596",
" 95/09/07","5,639,098","522,713,998","90.00","94.00","90.00","94.00","+2.50","2,349",
" 95/09/08","3,315,881","307,887,952","93.60","93.60","92.40","92.50","-1.50","1,571",
" 95/09/11","5,447,521","521,015,104","92.50","98.10","92.50","95.20","+2.70","2,363",
" 95/09/12","4,333,251","407,230,758","96.30","96.30","92.30","94.00","-1.20","2,130",
" 95/09/13","5,924,254","546,250,717","95.00","95.00","90.30","92.40","-1.60","2,675",
" 95/09/14","9,558,856","824,452,806","86.00","87.70","84.10","85.50","X0.00","5,062",
" 95/09/15","4,719,206","407,765,833","85.50","87.70","84.30","87.00","+1.50","2,652",
" 95/09/18","7,617,677","697,903,261","89.80","93.00","88.50","93.00","+6.00","3,722",
" 95/09/19","5,071,203","471,943,169","93.50","94.60","91.30","91.60","-1.40","2,564",
" 95/09/20","7,039,611","627,206,006","90.60","91.30","87.50","88.40","-3.20","3,388",
" 95/09/21","3,008,010","265,521,771","88.40","89.00","87.60","88.00","-0.40","1,643",
" 95/09/22","4,373,695","393,477,594","88.90","91.40","88.10","90.80","+2.80","2,480",
" 95/09/25","3,289,489","293,741,463","91.40","91.40","88.10","89.20","-1.60","1,800",
" 95/09/26","2,275,229","201,210,963","90.00","90.20","87.50","87.50","-1.70","1,329",
" 95/09/27","4,112,089","359,781,332","88.50","88.80","86.60","88.00","+0.50","1,901",
" 95/09/28","5,686,185","482,286,696","88.00","88.50","82.00","85.40","-2.60","3,034",
" 95/09/29","3,018,554","258,826,910","84.00","87.00","84.00","85.50","+0.10","1,818",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

