"9512る 2454 羛祇           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 95/12/01","6,522,014","2,183,706,621","331.00","338.00","331.00","333.00","+2.00","3,774",
" 95/12/04","4,418,966","1,472,876,576","334.50","338.50","329.00","337.50","+4.50","2,672",
" 95/12/05","12,230,307","4,206,698,108","340.00","350.50","338.50","347.00","+9.50","7,083",
" 95/12/06","7,371,149","2,580,411,352","350.00","353.00","345.00","350.50","+3.50","4,253",
" 95/12/07","4,904,669","1,681,845,105","349.00","349.00","339.00","340.50","-10.00","3,392",
" 95/12/08","2,817,077","945,985,795","340.00","340.00","333.00","336.00","-4.50","1,728",
" 95/12/11","2,147,878","714,893,805","335.00","336.00","331.00","335.00","-1.00","1,350",
" 95/12/12","4,533,494","1,478,359,044","334.00","334.00","320.00","326.00","-9.00","2,789",
" 95/12/13","5,416,655","1,734,942,535","324.50","327.50","313.50","326.00"," 0.00","3,214",
" 95/12/14","5,509,596","1,823,049,276","327.50","334.50","322.50","331.50","+5.50","3,395",
" 95/12/15","3,600,987","1,205,273,143","335.00","336.00","332.50","335.50","+4.00","2,282",
" 95/12/18","4,315,254","1,458,691,704","334.00","342.00","334.00","336.00","+0.50","2,517",
" 95/12/19","3,384,986","1,134,232,366","336.00","341.00","331.00","331.00","-5.00","1,975",
" 95/12/20","3,209,235","1,074,168,225","333.50","336.50","332.50","336.00","+5.00","1,640",
" 95/12/21","2,098,803","700,127,793","335.00","336.00","330.50","331.50","-4.50","1,318",
" 95/12/22","1,521,454","505,632,682","330.50","334.50","330.50","334.00","+2.50","954",
" 95/12/25","1,442,109","478,982,079","334.00","334.00","331.00","331.00","-3.00","893",
" 95/12/26","2,876,700","965,806,500","333.00","338.00","333.00","336.00","+5.00","1,562",
" 95/12/27","3,551,386","1,205,437,810","337.00","343.00","334.50","335.50","-0.50","2,149",
" 95/12/28","2,732,402","926,687,067","340.00","341.00","337.00","340.00","+4.50","1,602",
" 95/12/29","3,115,966","1,054,692,042","340.00","341.00","336.00","337.00","-3.00","1,656",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

