"107年02月 2454 聯發科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/02/01","13,669,201","4,221,421,137","310.00","311.00","306.50","307.00","+8.00","6,700",
"107/02/02","5,242,656","1,594,570,080","304.00","306.50","301.50","304.50","-2.50","3,124",
"107/02/05","5,583,969","1,665,084,169","295.00","301.00","295.00","299.00","-5.50","3,806",
"107/02/06","11,116,800","3,171,040,900","290.00","292.00","279.00","286.50","-12.50","7,745",
"107/02/07","7,681,256","2,221,927,960","292.50","295.00","284.50","284.50","-2.00","5,379",
"107/02/08","4,649,916","1,329,808,392","285.00","288.50","283.00","286.00","+1.50","3,062",
"107/02/09","8,477,304","2,361,336,140","272.50","286.00","270.00","283.00","-3.00","4,974",
"107/02/12","5,525,043","1,582,507,255","286.50","289.00","283.00","285.00","+2.00","3,527",
"107/02/21","11,124,413","3,331,870,818","293.50","304.50","292.00","304.50","+19.50","7,132",
"107/02/22","7,652,415","2,314,089,330","300.00","306.00","298.50","302.00","-2.50","3,770",
"107/02/23","6,895,549","2,073,977,032","300.00","302.00","299.50","300.50","-1.50","3,816",
"107/02/26","3,620,576","1,085,968,648","304.50","304.50","296.50","296.50","-4.00","2,666",
"107/02/27","9,192,774","2,791,847,974","302.00","307.00","301.00","301.00","+4.50","4,571",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

