"9904る 2474 Θ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 99/04/01","16,845,297","1,356,132,570","79.00","81.40","78.50","81.00","+3.00","8,250",
" 99/04/02","6,976,273","562,414,861","81.00","81.30","80.10","80.50","-0.50","3,160",
" 99/04/06","7,793,385","633,924,949","81.20","81.90","80.60","81.00","+0.50","4,255",
" 99/04/07","12,886,568","1,062,798,339","82.00","83.50","81.40","82.80","+1.80","6,030",
" 99/04/08","8,728,564","714,599,833","82.80","82.90","81.20","81.30","-1.50","3,976",
" 99/04/09","8,762,810","700,583,253","81.50","81.80","79.20","79.60","-1.70","4,597",
" 99/04/12","3,415,038","272,884,316","79.70","80.40","79.60","79.90","+0.30","1,727",
" 99/04/13","2,936,323","231,868,206","79.90","79.90","78.50","78.60","-1.30","1,643",
" 99/04/14","3,149,262","248,255,251","79.00","79.60","78.50","79.00","+0.40","1,646",
" 99/04/15","4,787,331","383,209,589","79.70","80.60","79.10","80.30","+1.30","2,494",
" 99/04/16","4,454,944","358,816,768","80.30","81.20","79.60","81.00","+0.70","2,193",
" 99/04/19","7,741,754","617,301,872","80.50","80.60","78.10","78.10","-2.90","3,843",
" 99/04/20","7,433,363","600,266,396","78.50","81.80","78.50","81.50","+3.40","3,852",
" 99/04/21","21,918,887","1,851,592,031","83.40","85.70","83.00","85.50","+4.00","10,685",
" 99/04/22","7,237,735","613,796,675","85.10","85.50","83.70","85.30","-0.20","4,033",
" 99/04/23","7,686,353","652,475,552","85.80","86.10","84.10","84.10","-1.20","3,531",
" 99/04/26","14,149,293","1,209,912,705","85.00","86.30","84.40","85.40","+1.30","5,654",
" 99/04/27","4,786,945","407,125,641","85.10","85.50","84.80","85.00","-0.40","2,368",
" 99/04/28","5,706,605","480,900,525","83.00","85.50","82.90","85.00"," 0.00","3,077",
" 99/04/29","4,399,459","372,946,518","85.50","85.60","83.90","83.90","-1.10","2,241",
" 99/04/30","6,226,899","519,623,733","84.20","85.20","81.50","83.20","-0.70","3,226",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

