"106年10月 2474 可成             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/10/02","14,582,515","4,457,697,725","297.00","313.00","292.00","313.00","+18.00","9,999",
"106/10/03","14,359,290","4,474,693,747","316.50","318.00","305.00","305.50","-7.50","9,554",
"106/10/05","9,992,665","3,125,943,458","305.50","316.00","304.00","316.00","+10.50","7,007",
"106/10/06","15,706,767","5,090,802,343","326.00","328.00","319.50","328.00","+12.00","9,560",
"106/10/11","12,138,930","3,933,128,200","330.00","331.00","318.00","321.50","-6.50","7,844",
"106/10/12","4,829,422","1,553,096,662","323.00","326.00","319.00","320.50","-1.00","3,514",
"106/10/13","8,265,131","2,572,183,461","319.50","319.50","306.50","312.50","-8.00","5,703",
"106/10/16","6,916,414","2,177,255,582","312.50","322.00","309.50","312.00","-0.50","5,228",
"106/10/17","4,686,423","1,468,279,630","315.50","317.00","309.50","309.50","-2.50","3,390",
"106/10/18","7,060,468","2,167,591,255","315.00","315.50","298.00","304.00","-5.50","5,019",
"106/10/19","8,649,303","2,590,104,348","298.00","303.50","293.00","302.00","-2.00","5,962",
"106/10/20","5,016,244","1,508,472,790","300.00","304.50","295.50","303.50","+1.50","3,732",
"106/10/23","5,610,289","1,729,517,853","305.00","313.00","303.50","307.50","+4.00","3,944",
"106/10/24","3,439,985","1,061,726,731","310.00","310.50","306.00","308.50","+1.00","2,503",
"106/10/25","3,057,835","948,842,185","312.00","313.00","308.50","309.50","+1.00","2,138",
"106/10/26","5,016,165","1,563,101,395","309.50","317.00","305.00","313.00","+3.50","3,549",
"106/10/27","7,357,970","2,234,428,800","313.00","314.00","291.50","296.00","-17.00","5,380",
"106/10/30","9,258,599","2,858,266,615","305.00","316.00","301.00","314.50","+18.50","6,568",
"106/10/31","9,859,237","3,156,025,840","317.00","324.00","315.00","320.00","+5.50","6,468",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

