"10505る 2475 地琈             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/05/03","5,729,629","2,915,062","0.53","0.53","0.50","0.51","-0.02","245",
"105/05/04","8,163,392","4,022,428","0.50","0.50","0.49","0.49","-0.02","297",
"105/05/05","2,667,365","1,340,736","0.49","0.53","0.49","0.53","+0.04","203",
"105/05/06","3,556,012","1,859,485","0.54","0.54","0.50","0.53"," 0.00","182",
"105/05/09","1,293,893","682,910","0.52","0.53","0.52","0.53"," 0.00","158",
"105/05/10","1,776,472","934,177","0.52","0.54","0.52","0.54","+0.01","139",
"105/05/11","933,192","494,941","0.53","0.54","0.53","0.53","-0.01","130",
"105/05/12","1,878,564","999,915","0.53","0.54","0.52","0.54","+0.01","168",
"105/05/13","1,278,999","671,728","0.53","0.54","0.51","0.51","-0.03","114",
"105/05/16","4,532,764","2,129,399","0.47","0.49","0.46","0.48","-0.03","261",
"105/05/17","6,205,592","2,928,013","0.47","0.48","0.47","0.48"," 0.00","322",
"105/05/18","2,321,342","1,090,113","0.47","0.47","0.47","0.47","-0.01","198",
"105/05/19","3,934,994","1,809,190","0.46","0.47","0.45","0.46","-0.01","244",
"105/05/20","1,894,990","867,905","0.46","0.47","0.45","0.47","+0.01","188",
"105/05/23","3,550,023","1,593,726","0.44","0.46","0.44","0.45","-0.02","297",
"105/05/24","2,316,281","1,052,168","0.45","0.46","0.45","0.46","+0.01","239",
"105/05/25","2,628,084","1,247,872","0.47","0.48","0.46","0.48","+0.02","231",
"105/05/26","1,704,462","816,532","0.48","0.49","0.47","0.48"," 0.00","172",
"105/05/27","2,021,389","944,149","0.47","0.47","0.46","0.47","-0.01","181",
"105/05/30","1,939,010","927,696","0.47","0.49","0.47","0.48","+0.01","159",
"105/05/31","1,175,610","557,314","0.48","0.48","0.47","0.47","-0.01","149",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

