"10007る 2485 划             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"100/07/01","2,160,284","95,320,599","43.95","44.50","43.50","44.05","+0.65","1,072",
"100/07/04","1,871,954","83,230,026","44.50","44.90","44.00","44.10","+0.05","883",
"100/07/05","1,348,986","59,104,386","44.45","44.45","43.55","43.55","-0.55","633",
"100/07/06","1,359,091","60,017,853","43.60","44.55","43.55","44.05","+0.50","744",
"100/07/07","5,341,033","239,563,312","44.20","45.30","44.15","44.60","+0.55","1,993",
"100/07/08","1,643,751","73,085,243","45.00","45.15","43.80","43.90","-0.70","891",
"100/07/11","1,625,426","70,554,349","44.20","44.30","43.05","43.20","-0.70","821",
"100/07/12","2,243,650","95,080,117","42.80","43.10","42.00","42.20","-1.00","1,071",
"100/07/13","3,194,250","131,591,970","42.30","42.70","40.00","40.55","-1.65","1,638",
"100/07/14","3,098,514","122,768,208","40.70","41.20","38.30","39.35","-1.20","1,627",
"100/07/15","2,951,942","119,879,914","39.35","42.00","39.20","42.00","+2.65","1,562",
"100/07/18","3,091,328","128,773,934","42.30","42.30","41.20","41.70","-0.30","1,423",
"100/07/19","3,239,411","128,499,884","39.20","40.00","39.20","39.65","X0.00","1,376",
"100/07/20","3,281,132","131,244,706","40.05","40.50","39.60","39.85","+0.20","1,593",
"100/07/21","1,537,126","61,583,950","40.50","40.50","39.80","40.10","+0.25","792",
"100/07/22","2,487,252","101,514,080","40.60","41.30","40.20","40.55","+0.45","1,272",
"100/07/25","2,160,660","88,416,078","41.00","41.30","40.50","40.80","+0.25","1,140",
"100/07/26","1,275,248","51,788,689","40.95","41.10","40.35","40.65","-0.15","694",
"100/07/27","2,525,031","104,247,027","40.80","41.60","40.80","41.50","+0.85","1,291",
"100/07/28","1,493,413","61,503,388","41.05","41.50","41.00","41.05","-0.45","734",
"100/07/29","2,070,722","85,440,275","41.00","41.70","40.85","41.10","+0.05","976",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

