"107年05月 2485 兆赫             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/05/02","836,834","21,023,644","25.35","25.60","24.80","25.30","-0.05","391",
"107/05/03","360,000","8,989,800","25.30","25.30","24.90","24.95","-0.35","216",
"107/05/04","413,320","10,308,150","25.00","25.10","24.80","24.90","-0.05","193",
"107/05/07","929,595","22,997,476","24.95","25.10","24.55","24.60","-0.30","392",
"107/05/08","495,362","12,313,059","24.65","25.00","24.65","24.90","+0.30","252",
"107/05/09","404,556","10,128,869","25.00","25.20","24.95","24.95","+0.05","235",
"107/05/10","389,705","9,788,675","25.25","25.45","24.95","25.10","+0.15","218",
"107/05/11","505,778","12,706,303","25.15","25.35","25.00","25.20","+0.10","222",
"107/05/14","678,451","16,936,650","25.20","25.30","24.85","24.95","-0.25","302",
"107/05/15","482,012","12,033,850","24.85","25.10","24.85","24.95"," 0.00","227",
"107/05/16","447,168","11,203,100","24.95","25.15","24.95","25.10","+0.15","241",
"107/05/17","3,145,831","82,442,960","25.45","26.85","25.45","26.75","+1.65","1,634",
"107/05/18","1,480,107","38,759,456","26.50","26.50","26.00","26.25","-0.50","638",
"107/05/21","468,263","12,251,115","26.25","26.30","26.05","26.25"," 0.00","307",
"107/05/22","825,184","21,857,056","26.30","26.80","26.25","26.40","+0.15","532",
"107/05/23","472,400","12,358,637","26.45","26.45","26.10","26.10","-0.30","268",
"107/05/24","321,508","8,431,004","26.10","26.35","26.10","26.10"," 0.00","179",
"107/05/25","2,080,800","55,614,699","26.05","27.00","26.05","26.70","+0.60","880",
"107/05/28","1,321,809","35,376,265","26.80","27.40","26.50","26.65","-0.05","624",
"107/05/29","1,062,834","28,657,097","26.95","27.20","26.55","27.00","+0.35","580",
"107/05/30","1,220,511","32,252,913","26.80","26.80","26.25","26.50","-0.50","499",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

