"10311る 2498 Щ笷筿           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/11/03","20,784,896","2,847,290,659","135.50","139.00","134.50","138.00","+3.50","11,373",
"103/11/04","9,809,932","1,346,602,684","138.00","138.50","136.00","137.00","-1.00","5,583",
"103/11/05","15,786,168","2,200,622,732","138.50","140.50","138.00","138.50","+1.50","9,270",
"103/11/06","7,059,495","972,896,048","139.00","139.50","136.50","136.50","-2.00","4,451",
"103/11/07","5,872,614","804,195,618","137.00","138.50","135.50","137.00","+0.50","3,824",
"103/11/10","4,516,383","619,567,088","138.00","138.50","136.00","136.00","-1.00","2,892",
"103/11/11","7,494,758","1,034,338,472","137.50","139.00","136.00","138.50","+2.50","4,779",
"103/11/12","5,304,734","731,094,675","138.50","139.00","137.00","137.00","-1.50","3,234",
"103/11/13","7,508,127","1,042,186,071","137.00","140.00","137.00","138.50","+1.50","4,616",
"103/11/14","6,077,045","842,082,210","139.00","140.00","137.50","138.50"," 0.00","3,326",
"103/11/17","5,245,769","723,879,950","140.00","140.00","136.50","137.50","-1.00","3,439",
"103/11/18","12,219,367","1,638,108,444","138.00","138.50","132.00","132.00","-5.50","7,670",
"103/11/19","5,025,673","671,448,833","133.50","134.50","132.50","133.50","+1.50","3,222",
"103/11/20","6,403,150","869,966,400","135.00","137.00","134.00","137.00","+3.50","4,018",
"103/11/21","3,257,800","443,501,300","137.00","137.50","135.50","135.50","-1.50","2,147",
"103/11/24","2,589,002","351,154,759","136.50","136.50","135.00","135.50"," 0.00","1,755",
"103/11/25","8,809,921","1,189,581,835","136.50","136.50","134.00","135.00","-0.50","2,489",
"103/11/26","2,637,541","354,859,994","135.00","135.50","134.00","134.00","-1.00","1,927",
"103/11/27","2,629,110","353,749,240","135.00","135.50","134.00","134.50","+0.50","1,968",
"103/11/28","8,083,920","1,102,667,076","135.00","137.50","134.00","137.00","+2.50","4,794",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

