"94年04月 2542 興富發           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 94/04/01","5,872,527","124,926,306","22.00","22.60","20.50","22.60","+0.75","1,549",
" 94/04/04","1,334,050","29,073,074","22.20","22.20","21.50","21.50","-1.10","481",
" 94/04/06","1,252,000","26,789,600","21.20","21.80","21.00","21.45","-0.05","462",
" 94/04/07","1,037,000","22,128,000","21.30","21.70","21.00","21.00","-0.45","368",
" 94/04/08","4,117,523","88,768,913","21.20","21.90","21.20","21.40","+0.40","1,137",
" 94/04/11","1,835,000","39,271,150","21.60","21.75","21.10","21.35","-0.05","545",
" 94/04/12","2,030,000","42,431,600","21.50","21.50","20.60","20.80","-0.55","591",
" 94/04/13","3,083,000","64,511,700","21.20","21.20","20.70","20.80"," 0.00","854",
" 94/04/14","2,953,300","61,630,006","20.10","21.20","20.10","21.10","+0.30","884",
" 94/04/15","2,386,000","48,818,800","20.80","20.90","20.10","20.30","-0.80","660",
" 94/04/18","3,148,690","60,892,579","20.10","20.15","18.90","18.90","-1.40","874",
" 94/04/19","3,188,003","59,857,453","19.05","19.20","18.40","18.75","-0.15","840",
" 94/04/20","5,190,022","99,092,909","18.95","19.50","18.50","19.15","+0.40","1,743",
" 94/04/21","5,496,000","108,510,300","19.15","20.35","19.00","20.35","+1.20","1,630",
" 94/04/22","3,887,219","78,907,181","20.80","20.80","19.80","19.80","-0.55","1,140",
" 94/04/25","2,425,000","48,596,050","20.10","20.30","19.80","19.95","+0.15","813",
" 94/04/26","1,214,574","24,195,142","20.10","20.10","19.60","19.95"," 0.00","484",
" 94/04/27","1,058,546","20,904,487","19.80","20.00","19.50","19.50","-0.45","348",
" 94/04/28","1,478,181","29,027,561","19.50","19.90","19.40","19.50"," 0.00","449",
" 94/04/29","2,378,954","46,572,504","19.50","19.90","19.30","19.45","-0.05","670",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

