"9603る 2603 篴             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 96/03/01","13,214,332","278,668,082","21.00","21.25","20.85","20.85","-0.65","2,340",
" 96/03/02","12,859,623","266,968,799","20.85","21.00","20.50","20.50","-0.35","2,382",
" 96/03/03","3,580,675","72,865,929","20.50","20.60","20.15","20.45","-0.05","994",
" 96/03/05","14,744,048","291,750,026","20.40","20.40","19.25","19.50","-0.95","2,408",
" 96/03/06","7,645,831","149,427,655","19.50","19.70","19.45","19.65","+0.15","2,031",
" 96/03/07","20,815,254","432,044,384","19.90","21.00","19.70","21.00","+1.35","3,149",
" 96/03/08","20,212,267","429,922,975","20.90","21.60","20.90","21.20","+0.20","4,525",
" 96/03/09","8,489,552","179,771,263","21.50","21.50","21.00","21.30","+0.10","2,347",
" 96/03/12","6,646,148","139,411,256","21.30","21.35","20.80","20.85","-0.45","1,223",
" 96/03/13","14,515,678","310,202,097","21.00","21.60","20.90","21.45","+0.60","2,597",
" 96/03/14","4,528,970","94,973,592","21.00","21.20","20.80","21.10","-0.35","1,318",
" 96/03/15","7,807,605","166,127,733","21.20","21.40","21.10","21.25","+0.15","1,208",
" 96/03/16","3,663,174","77,695,506","21.25","21.40","21.00","21.35","+0.10","1,022",
" 96/03/19","4,160,645","88,849,841","21.35","21.50","21.25","21.30","-0.05","857",
" 96/03/20","6,818,064","146,181,678","21.40","21.50","21.35","21.40","+0.10","1,175",
" 96/03/21","2,747,298","58,928,007","21.50","21.55","21.35","21.40"," 0.00","849",
" 96/03/22","8,035,506","173,332,724","21.50","21.70","21.45","21.50","+0.10","1,714",
" 96/03/23","4,423,243","95,077,487","21.35","21.60","21.35","21.45","-0.05","1,085",
" 96/03/26","5,038,448","108,087,094","21.45","21.55","21.35","21.50","+0.05","1,138",
" 96/03/27","4,851,532","104,001,791","21.40","21.55","21.35","21.40","-0.10","996",
" 96/03/28","3,274,026","69,320,014","21.35","21.40","21.10","21.15","-0.25","781",
" 96/03/29","7,721,772","162,039,054","21.10","21.15","20.90","20.95","-0.20","1,078",
" 96/03/30","4,801,597","101,080,337","21.00","21.20","20.95","21.10","+0.15","831",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

