"107年03月 2603 長榮             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/03/01","25,004,183","393,206,140","15.45","15.90","15.45","15.90","+0.45","5,484",
"107/03/02","17,675,848","275,404,669","15.60","15.70","15.50","15.55","-0.35","5,060",
"107/03/05","20,571,634","315,592,104","15.50","15.60","15.20","15.20","-0.35","5,986",
"107/03/06","21,260,199","322,111,239","15.35","15.40","15.05","15.05","-0.15","6,117",
"107/03/07","12,618,856","190,679,064","15.10","15.30","15.05","15.05"," 0.00","2,880",
"107/03/08","8,941,915","135,728,703","15.15","15.25","15.10","15.10","+0.05","2,514",
"107/03/09","18,662,033","288,434,240","15.20","15.60","15.20","15.45","+0.35","4,111",
"107/03/12","21,350,450","337,729,645","15.70","15.95","15.70","15.85","+0.40","4,871",
"107/03/13","13,859,356","217,891,067","15.85","15.85","15.65","15.70","-0.15","3,113",
"107/03/14","7,871,454","123,174,061","15.65","15.70","15.60","15.70"," 0.00","2,246",
"107/03/15","6,953,769","108,707,371","15.60","15.70","15.55","15.60","-0.10","2,094",
"107/03/16","11,618,609","180,912,186","15.65","15.70","15.50","15.60"," 0.00","2,597",
"107/03/19","36,859,750","591,931,379","15.65","16.30","15.60","16.20","+0.60","7,073",
"107/03/20","20,620,915","332,289,210","16.10","16.20","16.00","16.15","-0.05","4,277",
"107/03/21","32,200,057","510,815,887","15.90","16.05","15.75","15.90","-0.25","5,641",
"107/03/22","13,496,476","214,131,235","15.95","16.05","15.70","15.75","-0.15","2,829",
"107/03/23","15,712,093","241,592,838","15.30","15.50","15.30","15.40","-0.35","3,566",
"107/03/26","19,581,277","297,685,362","15.20","15.30","15.10","15.20","-0.20","3,822",
"107/03/27","11,010,080","168,625,102","15.40","15.50","15.20","15.30","+0.10","2,924",
"107/03/28","17,682,721","267,363,147","15.20","15.25","15.05","15.10","-0.20","4,504",
"107/03/29","13,602,346","205,027,106","15.15","15.20","15.00","15.05","-0.05","3,879",
"107/03/30","10,627,418","160,542,241","15.10","15.20","15.05","15.10","+0.05","2,761",
"107/03/31","6,058,049","91,726,872","15.15","15.20","15.10","15.15","+0.05","2,393",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

