"99年03月 2605 新興             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 99/03/01","2,179,224","84,266,185","38.25","39.20","38.15","38.95","+0.75","916",
" 99/03/02","1,572,370","61,624,109","39.25","39.60","38.95","39.10","+0.15","795",
" 99/03/03","1,280,805","50,287,146","39.40","39.50","39.05","39.10"," 0.00","582",
" 99/03/04","5,232,887","209,349,186","39.70","40.30","39.45","39.75","+0.65","2,464",
" 99/03/05","5,909,071","240,113,908","40.90","40.95","40.35","40.65","+0.90","2,365",
" 99/03/08","5,028,891","205,824,837","41.00","41.30","40.70","40.70","+0.05","1,865",
" 99/03/09","2,301,444","92,420,668","40.70","40.90","40.00","40.10","-0.60","1,083",
" 99/03/10","1,524,389","60,906,731","40.00","40.20","39.80","39.85","-0.25","799",
" 99/03/11","1,013,305","40,527,183","39.95","40.25","39.85","39.85"," 0.00","525",
" 99/03/12","1,215,972","48,550,669","40.10","40.25","39.75","39.95","+0.10","701",
" 99/03/15","2,385,781","95,855,464","40.25","40.65","39.70","39.70","-0.25","1,133",
" 99/03/16","1,733,612","69,386,051","40.00","40.30","39.85","40.05","+0.35","728",
" 99/03/17","2,305,824","92,342,910","40.10","40.30","39.90","40.20","+0.15","989",
" 99/03/18","2,560,526","103,175,436","40.30","40.55","40.00","40.35","+0.15","1,229",
" 99/03/19","1,760,950","71,134,523","40.35","40.60","40.20","40.50","+0.15","900",
" 99/03/22","3,132,856","127,527,058","40.70","40.90","40.35","40.90","+0.40","1,296",
" 99/03/23","2,485,589","101,590,832","41.00","41.10","40.50","40.50","-0.40","1,147",
" 99/03/24","2,670,721","108,979,718","40.65","40.95","40.60","40.80","+0.30","1,184",
" 99/03/25","2,068,199","84,128,441","40.80","41.00","40.40","40.90","+0.10","975",
" 99/03/26","3,935,198","160,890,909","40.50","41.15","40.45","40.95","+0.05","1,633",
" 99/03/29","3,897,745","158,636,811","40.95","41.10","40.45","40.85","-0.10","1,295",
" 99/03/30","1,616,883","65,935,642","40.70","41.00","40.60","40.60","-0.25","865",
" 99/03/31","1,572,129","63,695,844","40.70","40.70","40.35","40.35","-0.25","795",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

