"98年12月 2606 裕民             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 98/12/01","2,008,370","127,334,937","63.70","63.90","63.10","63.90","+0.10","1,205",
" 98/12/02","3,292,207","212,297,681","64.00","65.00","63.90","64.50","+0.60","1,636",
" 98/12/03","3,029,447","196,765,046","65.10","65.80","64.00","64.40","-0.10","1,614",
" 98/12/04","4,350,689","283,160,638","64.60","65.50","64.50","64.80","+0.40","1,982",
" 98/12/07","4,042,794","261,278,710","65.00","65.10","64.20","65.00","+0.20","1,701",
" 98/12/08","2,842,704","183,109,607","65.00","65.00","64.20","64.50","-0.50","1,319",
" 98/12/09","2,649,461","170,914,275","64.20","64.90","64.00","64.90","+0.40","1,400",
" 98/12/10","5,614,054","357,650,622","64.80","64.80","63.10","63.30","-1.60","3,062",
" 98/12/11","2,408,039","153,490,572","63.90","64.10","63.30","63.80","+0.50","1,385",
" 98/12/14","1,802,762","115,374,584","63.50","64.40","63.50","63.90","+0.10","983",
" 98/12/15","1,680,173","107,112,672","63.90","64.30","63.40","64.00","+0.10","951",
" 98/12/16","1,624,502","103,848,170","64.00","64.30","63.50","64.00"," 0.00","862",
" 98/12/17","2,975,606","189,537,613","64.00","64.30","63.30","63.40","-0.60","1,459",
" 98/12/18","2,058,532","129,574,779","62.90","63.30","62.80","63.00","-0.40","1,054",
" 98/12/21","3,494,961","219,233,043","63.00","63.20","62.40","62.50","-0.50","1,741",
" 98/12/22","4,511,047","282,302,229","62.50","63.20","62.40","62.50"," 0.00","2,014",
" 98/12/23","2,004,856","125,736,128","62.80","63.00","62.40","63.00","+0.50","1,076",
" 98/12/24","3,554,969","226,236,913","63.00","64.00","63.00","64.00","+1.00","1,838",
" 98/12/25","4,189,527","270,926,023","64.60","65.20","64.20","64.20","+0.20","2,130",
" 98/12/28","2,661,532","171,853,456","64.50","64.90","64.30","64.50","+0.30","1,403",
" 98/12/29","2,588,705","167,191,026","64.80","65.00","64.10","64.30","-0.20","1,226",
" 98/12/30","3,728,456","241,784,835","64.80","65.00","64.40","64.90","+0.60","1,717",
" 98/12/31","3,510,730","228,274,467","64.90","65.30","64.60","65.00","+0.10","1,782",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

