"9409る 2607 篴笲             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 94/09/02","976,712","11,595,380","11.80","11.95","11.80","11.95","+0.30","211",
" 94/09/05","1,441,563","17,333,320","11.95","12.15","11.90","11.90","-0.05","283",
" 94/09/06","423,635","5,082,243","11.90","12.05","11.90","12.05","+0.15","141",
" 94/09/07","676,749","8,109,051","12.10","12.10","11.90","11.90","-0.15","186",
" 94/09/08","931,968","11,190,899","11.90","12.10","11.90","11.95","+0.05","231",
" 94/09/09","598,753","7,117,216","11.95","12.00","11.85","11.85","-0.10","153",
" 94/09/12","893,644","10,615,942","11.95","11.95","11.80","11.85"," 0.00","150",
" 94/09/13","792,246","9,411,941","11.85","11.95","11.85","11.85"," 0.00","192",
" 94/09/14","1,433,172","17,154,693","11.90","12.05","11.85","11.95","+0.10","247",
" 94/09/15","2,042,873","24,399,005","12.05","12.05","11.85","11.90","-0.05","309",
" 94/09/16","1,879,812","22,422,762","11.90","12.00","11.85","11.85","-0.05","295",
" 94/09/19","649,569","7,727,435","12.00","12.00","11.85","11.85"," 0.00","134",
" 94/09/20","634,134","7,558,816","11.85","12.00","11.80","11.95","+0.10","176",
" 94/09/21","1,025,657","12,291,902","11.95","12.10","11.85","11.85","-0.10","261",
" 94/09/22","1,826,379","21,598,595","11.85","12.00","11.70","11.75","-0.10","300",
" 94/09/23","1,578,067","18,508,109","11.75","11.90","11.65","11.70","-0.05","246",
" 94/09/26","1,356,584","15,843,584","11.80","11.80","11.60","11.70"," 0.00","203",
" 94/09/27","554,171","6,457,228","11.80","11.80","11.60","11.65","-0.05","94",
" 94/09/28","1,043,955","12,127,366","11.60","11.70","11.55","11.60","-0.05","151",
" 94/09/29","1,044,541","12,163,221","11.60","11.75","11.60","11.70","+0.10","193",
" 94/09/30","1,953,393","23,253,398","11.80","12.05","11.75","11.90","+0.20","494",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

