"106年01月 2607 榮運             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/01/03","398,728","5,146,303","12.80","13.00","12.80","12.90","+0.10","126",
"106/01/04","161,056","2,080,767","12.90","12.95","12.90","12.90"," 0.00","79",
"106/01/05","919,899","12,005,942","12.90","13.20","12.90","13.00","+0.10","224",
"106/01/06","841,914","11,039,232","13.00","13.20","13.00","13.10","+0.10","194",
"106/01/09","684,775","9,013,125","13.15","13.25","13.10","13.10"," 0.00","194",
"106/01/10","786,274","10,366,538","13.10","13.30","13.10","13.15","+0.05","189",
"106/01/11","1,039,008","13,723,602","13.15","13.25","13.15","13.25","+0.10","271",
"106/01/12","965,361","12,741,073","13.25","13.30","13.10","13.15","-0.10","207",
"106/01/13","289,997","3,818,557","13.20","13.25","13.10","13.10","-0.05","143",
"106/01/16","294,260","3,846,291","13.10","13.20","13.05","13.05","-0.05","87",
"106/01/17","537,110","7,020,482","13.05","13.15","13.00","13.15","+0.10","151",
"106/01/18","651,242","8,570,967","13.15","13.25","13.10","13.20","+0.05","210",
"106/01/19","438,074","5,774,471","13.20","13.25","13.15","13.20"," 0.00","128",
"106/01/20","491,639","6,480,567","13.20","13.25","13.15","13.15","-0.05","133",
"106/01/23","1,779,736","23,817,971","13.15","13.45","13.15","13.40","+0.25","442",
"106/01/24","14,988,277","213,447,214","13.45","14.70","13.30","14.70","+1.30","3,638",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

