"106年11月 2609 陽明             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/11/01","4,846,776","59,500,025","12.30","12.40","12.25","12.25","-0.10","1,412",
"106/11/02","11,204,492","137,225,156","12.25","12.35","12.15","12.25"," 0.00","1,419",
"106/11/03","6,843,436","83,488,896","12.20","12.30","12.10","12.20","-0.05","1,410",
"106/11/06","6,838,948","82,885,739","12.20","12.20","12.05","12.15","-0.05","1,322",
"106/11/07","3,546,495","42,842,626","12.10","12.15","12.05","12.05","-0.10","1,049",
"106/11/08","4,246,712","51,476,994","12.05","12.20","12.05","12.10","+0.05","809",
"106/11/09","6,704,374","82,142,610","12.20","12.35","12.20","12.20","+0.10","1,410",
"106/11/10","12,779,018","157,529,589","12.40","12.45","12.20","12.20"," 0.00","2,356",
"106/11/13","6,645,146","81,061,437","12.30","12.35","12.10","12.15","-0.05","1,329",
"106/11/14","5,104,051","62,094,289","12.25","12.30","12.10","12.10","-0.05","1,203",
"106/11/15","4,694,551","56,841,815","12.15","12.15","12.05","12.05","-0.05","1,143",
"106/11/16","4,404,661","53,120,517","12.10","12.10","12.00","12.05"," 0.00","924",
"106/11/17","4,800,553","57,840,224","12.10","12.10","12.00","12.05"," 0.00","1,226",
"106/11/20","4,006,681","48,103,872","12.05","12.05","11.95","12.00","-0.05","1,406",
"106/11/21","6,036,647","73,042,264","12.05","12.15","12.05","12.05","+0.05","1,119",
"106/11/22","6,392,700","77,821,434","12.15","12.25","12.10","12.15","+0.10","1,095",
"106/11/23","4,386,826","53,292,218","12.15","12.20","12.10","12.15"," 0.00","907",
"106/11/24","4,660,793","56,642,213","12.15","12.25","12.10","12.15"," 0.00","1,091",
"106/11/27","3,707,438","45,191,075","12.20","12.25","12.15","12.15"," 0.00","825",
"106/11/28","20,222,818","252,950,605","12.25","12.75","12.25","12.55","+0.40","3,933",
"106/11/29","6,326,503","78,283,291","12.50","12.50","12.30","12.30","-0.25","1,676",
"106/11/30","28,513,359","344,319,355","12.20","12.20","12.00","12.00","-0.30","3,400",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

