"9608る 2610 地             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 96/08/01","19,179,089","282,552,900","15.00","15.25","14.30","14.30","-0.90","2,250",
" 96/08/02","30,831,122","440,105,780","14.70","14.90","14.05","14.30"," 0.00","2,664",
" 96/08/03","13,492,422","197,657,294","14.40","14.80","14.30","14.70","+0.40","1,636",
" 96/08/06","6,030,892","87,160,875","14.40","14.60","14.35","14.50","-0.20","762",
" 96/08/07","3,884,972","56,498,378","14.70","14.75","14.45","14.50"," 0.00","528",
" 96/08/08","5,470,159","79,922,756","14.50","14.70","14.50","14.70","+0.20","677",
" 96/08/09","6,981,237","102,390,597","14.80","14.85","14.55","14.65","-0.05","930",
" 96/08/10","6,344,169","91,808,043","14.50","14.55","14.35","14.50","-0.15","960",
" 96/08/13","7,441,197","107,338,820","14.50","14.65","14.35","14.50"," 0.00","940",
" 96/08/14","3,852,377","56,072,313","14.50","14.70","14.40","14.50"," 0.00","519",
" 96/08/15","11,731,592","168,230,897","14.45","14.60","14.15","14.30","-0.20","1,190",
" 96/08/16","14,709,137","204,331,606","14.20","14.20","13.50","13.60","-0.70","1,942",
" 96/08/17","14,508,706","192,658,928","13.65","13.85","12.95","13.00","-0.60","2,055",
" 96/08/20","30,204,294","391,636,374","13.50","13.55","12.50","13.20","+0.20","4,044",
" 96/08/21","12,657,622","158,134,416","12.70","12.70","12.30","12.60","X0.00","2,325",
" 96/08/22","6,744,800","84,535,340","12.50","12.80","12.40","12.55","-0.05","1,001",
" 96/08/23","16,544,689","210,663,220","12.70","12.95","12.60","12.80","+0.25","1,803",
" 96/08/24","7,655,111","98,366,760","12.80","12.90","12.80","12.85","+0.05","1,076",
" 96/08/27","8,764,313","111,530,280","12.90","12.90","12.60","12.80","-0.05","983",
" 96/08/28","4,290,516","54,276,144","12.60","12.80","12.55","12.75","-0.05","699",
" 96/08/29","7,179,054","90,529,673","12.60","12.70","12.55","12.65","-0.10","1,034",
" 96/08/30","7,987,181","102,541,907","12.85","12.95","12.70","12.85","+0.20","980",
" 96/08/31","9,009,147","116,432,930","12.95","13.05","12.85","12.95","+0.10","1,013",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

