"107年07月 2610 華航             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/07/02","7,072,251","66,960,359","9.52","9.53","9.42","9.44","-0.08","1,984",
"107/07/03","14,966,161","139,935,183","9.43","9.44","9.30","9.30","-0.14","4,198",
"107/07/04","4,318,795","40,475,030","9.40","9.40","9.33","9.37","+0.07","1,498",
"107/07/05","4,732,692","44,432,204","9.40","9.43","9.35","9.37"," 0.00","1,944",
"107/07/06","6,367,880","59,388,178","9.37","9.40","9.30","9.31","-0.06","2,130",
"107/07/09","5,126,640","47,961,262","9.30","9.42","9.30","9.41","+0.10","1,668",
"107/07/10","8,183,686","77,004,570","9.45","9.47","9.35","9.41"," 0.00","1,881",
"107/07/11","6,910,491","65,031,484","9.39","9.46","9.34","9.43","+0.02","1,937",
"107/07/12","5,564,430","52,503,349","9.40","9.46","9.39","9.45","+0.02","1,691",
"107/07/13","11,700,243","111,527,712","9.50","9.64","9.45","9.64","+0.19","2,544",
"107/07/16","6,745,898","64,207,859","9.62","9.62","9.47","9.50","-0.14","1,810",
"107/07/17","11,871,121","113,049,256","9.50","9.57","9.48","9.52","+0.02","2,565",
"107/07/18","10,422,547","100,065,643","9.57","9.64","9.52","9.60","+0.08","2,770",
"107/07/19","9,026,928","88,016,531","9.67","9.80","9.65","9.76","+0.16","2,408",
"107/07/20","11,834,007","116,652,864","9.79","9.94","9.76","9.84","+0.08","2,505",
"107/07/23","9,674,945","95,409,026","9.92","9.94","9.80","9.80","-0.04","1,966",
"107/07/24","5,370,454","52,657,505","9.80","9.84","9.78","9.80"," 0.00","1,736",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

