"8911る 2612 い             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 89/11/01","295,451","2,199,364","7.50","7.55","7.30","7.45","-0.05","66",
" 89/11/02","204,502","1,527,569","7.40","7.95","7.35","7.85","+0.40","60",
" 89/11/03","157,400","1,222,673","7.80","8.00","7.60","7.90","+0.05","69",
" 89/11/04","158,110","1,227,372","8.00","8.00","7.65","7.70","-0.20","60",
" 89/11/06","115,000","860,750","7.50","7.60","7.45","7.50","-0.20","29",
" 89/11/07","216,540","1,607,982","7.45","7.80","7.35","7.50"," 0.00","69",
" 89/11/08","146,318","1,132,437","7.40","8.00","7.40","7.60","+0.10","59",
" 89/11/09","105,800","807,296","7.60","7.80","7.60","7.60"," 0.00","33",
" 89/11/10","101,003","779,272","7.70","7.80","7.70","7.75","+0.15","37",
" 89/11/13","101,058","758,795","7.50","7.65","7.50","7.65","-0.10","39",
" 89/11/14","58,726","450,961","7.50","7.75","7.50","7.70","+0.05","48",
" 89/11/15","423,065","3,367,347","7.70","8.10","7.70","7.85","+0.15","141",
" 89/11/16","365,278","2,799,071","7.90","7.90","7.55","7.60","-0.25","77",
" 89/11/17","777,703","5,798,614","7.50","7.60","7.35","7.40","-0.20","97",
" 89/11/18","828,174","6,038,789","7.35","7.40","7.20","7.20","-0.20","82",
" 89/11/20","821,000","5,611,000","7.10","7.10","6.70","6.70","-0.50","99",
" 89/11/21","977,014","6,364,384","6.50","6.75","6.50","6.55","-0.15","117",
" 89/11/22","967,102","6,333,314","6.40","6.90","6.35","6.65","+0.10","145",
" 89/11/23","702,001","4,539,456","6.55","6.60","6.45","6.50","-0.15","88",
" 89/11/24","138,883","921,261","6.45","6.80","6.45","6.80","+0.30","55",
" 89/11/27","131,258","886,501","6.80","6.85","6.60","6.80"," 0.00","62",
" 89/11/28","128,869","862,932","6.80","6.80","6.65","6.70","-0.10","48",
" 89/11/29","137,525","938,803","6.70","6.95","6.70","6.85","+0.15","41",
" 89/11/30","56,000","384,150","6.95","7.00","6.80","6.90","+0.05","29",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

