"107年07月 2612 中航             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/07/02","95,141","2,711,710","28.30","28.65","28.30","28.55","+0.35","65",
"107/07/03","98,641","2,825,068","28.65","28.80","28.55","28.55"," 0.00","50",
"107/07/04","202,997","5,823,262","28.60","28.85","28.60","28.60","+0.05","93",
"107/07/05","306,594","8,903,286","28.90","29.25","28.85","28.90","+0.30","150",
"107/07/06","264,672","7,673,952","29.30","29.30","28.90","29.00","+0.10","127",
"107/07/09","186,342","5,401,848","29.00","29.20","28.90","28.95","-0.05","72",
"107/07/10","150,300","4,348,953","29.00","29.15","28.85","28.85","-0.10","67",
"107/07/11","96,600","2,785,598","28.80","29.00","28.75","28.75","-0.10","51",
"107/07/12","84,547","2,441,630","29.00","29.00","28.70","29.00","+0.25","39",
"107/07/13","77,547","2,252,863","29.10","29.15","29.00","29.10","+0.10","55",
"107/07/16","154,702","4,498,068","29.20","29.20","28.95","28.95","-0.15","82",
"107/07/17","200,230","5,805,294","29.05","29.05","28.90","29.00","+0.05","91",
"107/07/18","273,028","7,937,312","29.05","29.35","29.00","29.10","+0.10","94",
"107/07/19","132,886","3,870,694","29.20","29.20","29.00","29.20","+0.10","65",
"107/07/20","143,897","4,195,832","29.25","29.25","29.05","29.05","-0.15","87",
"107/07/23","115,160","3,343,821","28.95","29.25","28.95","29.15","+0.10","54",
"107/07/24","529,637","15,760,196","29.15","30.10","29.15","29.70","+0.55","295",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

