"8801る 2615 窾             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 88/01/05","2,295,000","103,102,400","46.70","46.70","44.00","44.00","-2.90","533",
" 88/01/06","1,458,537","64,636,708","44.00","45.10","43.00","44.30","0.30","627",
" 88/01/07","2,580,236","116,905,269","44.90","46.10","44.50","45.90","1.60","549",
" 88/01/08","2,099,427","95,892,366","45.90","46.00","45.10","46.00","0.10","401",
" 88/01/11","653,713","29,627,102","46.00","46.00","45.00","45.50","-0.50","209",
" 88/01/12","478,888","21,382,997","45.50","45.50","44.00","44.30","-1.20","220",
" 88/01/13","862,239","37,925,939","43.50","44.50","43.50","44.40","0.10","306",
" 88/01/14","906,636","39,131,189","43.80","43.90","42.60","42.90","-1.50","321",
" 88/01/15","1,142,673","48,491,335","42.60","43.50","41.00","43.00","0.10","368",
" 88/01/16","637,092","27,401,469","43.00","43.50","42.60","42.60","-0.40","230",
" 88/01/18","730,000","31,387,100","42.50","43.50","42.40","42.40","-0.20","283",
" 88/01/19","503,723","21,194,666","42.40","42.60","41.50","42.20","-0.20","221",
" 88/01/20","753,676","31,684,434","42.00","42.50","41.60","42.20","0.00","177",
" 88/01/21","4,161,551","167,500,407","42.00","42.20","39.30","40.00","-2.20","1,046",
" 88/01/22","1,576,620","61,511,070","39.00","40.00","38.60","39.30","-0.70","533",
" 88/01/25","904,402","34,608,416","39.20","39.20","37.50","37.50","-1.80","293",
" 88/01/26","809,475","30,769,538","38.30","38.50","37.50","37.90","0.40","351",
" 88/01/27","784,442","30,415,965","38.50","39.20","38.40","39.00","1.10","268",
" 88/01/28","377,514","14,657,040","39.00","39.20","38.50","38.50","-0.50","177",
" 88/01/29","442,127","16,864,962","39.00","39.00","38.00","38.20","-0.30","151",
" 88/01/30","441,814","16,893,332","38.00","38.60","38.00","38.10","-0.10","145",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

