"105年12月 2615 萬海             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/12/01","3,772,877","62,155,880","16.55","16.65","16.40","16.45","-0.10","1,593",
"105/12/02","1,670,432","27,403,134","16.45","16.50","16.35","16.40","-0.05","749",
"105/12/05","2,113,307","34,706,399","16.40","16.60","16.30","16.40"," 0.00","1,023",
"105/12/06","1,253,357","20,579,646","16.45","16.55","16.35","16.45","+0.05","521",
"105/12/07","1,505,981","24,786,485","16.45","16.60","16.40","16.50","+0.05","591",
"105/12/08","1,490,205","24,500,385","16.60","16.60","16.40","16.40","-0.10","542",
"105/12/09","1,179,911","19,372,691","16.40","16.50","16.40","16.40"," 0.00","395",
"105/12/12","3,405,983","55,057,078","16.45","16.50","16.00","16.00","-0.40","1,297",
"105/12/13","2,082,377","33,521,383","16.00","16.25","15.95","16.20","+0.20","1,165",
"105/12/14","1,789,520","28,832,265","16.20","16.20","16.05","16.05","-0.15","1,046",
"105/12/15","1,834,362","29,798,063","16.05","16.35","16.00","16.30","+0.25","1,085",
"105/12/16","2,176,811","35,494,216","16.30","16.40","16.15","16.30"," 0.00","1,072",
"105/12/19","1,665,325","27,282,443","16.40","16.50","16.25","16.25","-0.05","683",
"105/12/20","962,669","15,592,851","16.40","16.40","16.15","16.15","-0.10","589",
"105/12/21","1,076,797","17,322,809","16.20","16.30","16.00","16.00","-0.15","379",
"105/12/22","1,055,420","16,931,820","16.05","16.10","16.00","16.00"," 0.00","419",
"105/12/23","810,001","13,022,564","16.00","16.15","16.00","16.10","+0.10","421",
"105/12/26","1,062,385","17,278,994","16.25","16.40","16.20","16.20","+0.10","408",
"105/12/27","737,380","11,918,296","16.25","16.30","16.10","16.10","-0.10","224",
"105/12/28","1,059,306","17,125,289","16.20","16.25","16.10","16.15","+0.05","413",
"105/12/29","1,182,538","19,035,158","16.20","16.20","16.05","16.10","-0.05","358",
"105/12/30","1,965,901","31,951,883","16.20","16.35","16.15","16.30","+0.20","698",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

