"9508る 2618 篴           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 95/08/01","10,073,161","130,331,345","12.85","13.10","12.75","12.85","+0.05","1,842",
" 95/08/02","7,744,043","100,362,389","12.95","13.05","12.85","12.90","+0.05","1,295",
" 95/08/03","10,172,683","130,761,563","12.90","13.00","12.75","12.75","-0.15","1,233",
" 95/08/04","8,027,422","101,959,904","12.75","12.85","12.60","12.60","-0.15","1,049",
" 95/08/07","13,681,527","170,159,151","12.60","12.60","12.35","12.45","-0.15","1,845",
" 95/08/08","4,885,892","61,020,701","12.40","12.55","12.40","12.45"," 0.00","903",
" 95/08/09","7,232,219","90,662,379","12.55","12.65","12.45","12.60","+0.15","924",
" 95/08/10","6,548,996","81,918,936","12.60","12.65","12.45","12.50","-0.10","886",
" 95/08/11","10,408,308","129,054,863","12.50","12.50","12.30","12.40","-0.10","1,428",
" 95/08/14","5,657,774","70,760,589","12.50","12.60","12.45","12.45","+0.05","832",
" 95/08/15","8,527,364","106,847,593","12.40","12.65","12.40","12.55","+0.10","1,041",
" 95/08/16","9,365,211","118,021,278","12.70","12.70","12.50","12.60","+0.05","1,416",
" 95/08/17","8,117,993","102,180,953","12.70","12.70","12.50","12.55","-0.05","971",
" 95/08/18","24,542,354","315,707,372","12.70","13.00","12.70","12.90","+0.35","3,032",
" 95/08/21","13,134,980","166,564,636","12.95","12.95","12.45","12.55","-0.35","1,779",
" 95/08/22","4,831,606","60,919,392","12.70","12.75","12.50","12.60","+0.05","821",
" 95/08/23","6,103,185","76,413,307","12.70","12.70","12.40","12.55","-0.05","764",
" 95/08/24","4,223,048","53,077,798","12.60","12.65","12.50","12.60","+0.05","429",
" 95/08/25","7,147,980","90,195,395","12.65","12.75","12.55","12.55","-0.05","1,297",
" 95/08/28","6,336,020","79,594,193","12.60","12.70","12.50","12.60","+0.05","892",
" 95/08/29","4,324,322","54,617,579","12.70","12.75","12.55","12.60"," 0.00","603",
" 95/08/30","21,113,580","271,826,531","12.60","13.10","12.60","12.85","+0.25","2,360",
" 95/08/31","11,767,907","151,528,151","12.85","12.95","12.80","12.90","+0.05","1,458",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

