"105年09月 2618 長榮航           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/09/01","9,685,358","143,854,689","14.65","14.95","14.65","14.85","+0.15","2,403",
"105/09/02","13,425,207","201,430,666","14.95","15.15","14.90","14.90","+0.05","2,833",
"105/09/05","3,837,110","57,348,123","15.00","15.05","14.90","14.90"," 0.00","1,130",
"105/09/06","9,325,546","140,483,304","14.90","15.25","14.90","15.15","+0.25","2,004",
"105/09/07","6,700,263","101,495,891","15.20","15.25","15.05","15.15"," 0.00","1,840",
"105/09/08","4,444,064","67,362,609","15.15","15.20","15.05","15.15"," 0.00","2,028",
"105/09/09","5,257,378","78,493,416","15.05","15.10","14.85","14.90","-0.25","1,580",
"105/09/10","5,356,424","78,416,555","14.65","14.75","14.60","14.60","-0.30","1,473",
"105/09/12","6,560,520","95,342,381","14.60","14.65","14.50","14.50","-0.10","2,289",
"105/09/13","5,759,599","83,199,048","14.55","14.60","14.35","14.40","-0.10","2,544",
"105/09/14","6,200,688","89,052,252","14.30","14.55","14.30","14.30","-0.10","1,681",
"105/09/19","12,231,601","176,278,658","14.40","14.70","14.30","14.30"," 0.00","3,275",
"105/09/20","5,479,511","79,109,715","14.35","14.50","14.30","14.45","+0.15","2,164",
"105/09/21","6,552,884","95,066,050","14.50","14.70","14.40","14.50","+0.05","2,724",
"105/09/22","4,630,322","66,991,951","14.60","14.60","14.40","14.55","+0.05","1,794",
"105/09/23","6,499,854","94,899,157","14.55","14.65","14.50","14.65","+0.10","2,059",
"105/09/26","2,324,080","33,813,443","14.65","14.65","14.50","14.50","-0.15","933",
"105/09/29","6,501,955","93,889,824","14.50","14.55","14.40","14.40","-0.10","2,312",
"105/09/30","6,769,104","96,945,461","14.40","14.40","14.30","14.30","-0.10","1,915",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

