"106年02月 2633 台灣高鐵         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/02/02","4,536,202","86,559,888","19.15","19.25","19.00","19.00","-0.10","1,631",
"106/02/03","4,527,255","86,430,660","19.00","19.20","19.00","19.10","+0.10","1,448",
"106/02/06","4,055,601","77,552,767","19.20","19.20","19.05","19.20","+0.10","1,332",
"106/02/07","6,025,665","115,964,432","19.20","19.35","19.10","19.30","+0.10","1,990",
"106/02/08","11,251,466","220,268,758","19.35","19.75","19.30","19.65","+0.35","3,578",
"106/02/09","7,417,060","145,585,580","19.70","19.80","19.55","19.65"," 0.00","3,337",
"106/02/10","8,347,130","161,769,374","19.45","19.55","19.15","19.35","-0.30","3,031",
"106/02/13","3,974,998","76,970,473","19.35","19.45","19.25","19.40","+0.05","1,524",
"106/02/14","4,605,840","89,548,973","19.45","19.50","19.35","19.50","+0.10","1,656",
"106/02/15","4,424,674","86,516,262","19.50","19.60","19.40","19.55","+0.05","1,987",
"106/02/16","3,739,059","73,196,120","19.65","19.65","19.50","19.60","+0.05","1,739",
"106/02/17","8,197,981","162,832,830","19.60","20.00","19.60","19.90","+0.30","2,995",
"106/02/18","2,720,649","54,051,992","19.90","19.95","19.80","19.85","-0.05","1,069",
"106/02/20","4,036,550","80,459,008","19.95","20.00","19.85","19.95","+0.10","1,522",
"106/02/21","14,446,266","293,651,989","19.95","20.50","19.95","20.50","+0.55","4,900",
"106/02/22","27,909,520","594,640,238","20.60","21.85","20.60","21.45","+0.95","9,654",
"106/02/23","10,750,298","228,201,036","21.50","21.60","21.00","21.20","-0.25","4,437",
"106/02/24","10,458,035","223,551,102","21.10","21.60","21.00","21.55","+0.35","3,619",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

