"88年08月 2704 國賓             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 88/08/02","534,000","7,881,000","14.80","14.90","14.70","14.80"," 0.00","151",
" 88/08/03","570,112","8,380,315","14.60","14.85","14.55","14.75","-0.05","170",
" 88/08/04","404,299","5,979,874","14.80","15.00","14.70","14.75"," 0.00","111",
" 88/08/05","602,070","8,662,526","14.50","14.70","14.15","14.40","-0.35","154",
" 88/08/06","787,662","11,066,278","14.40","14.40","13.80","13.80","-0.60","182",
" 88/08/07","704,250","9,633,882","13.50","13.95","13.45","13.95","+0.15","154",
" 88/08/09","381,000","5,307,100","13.80","14.20","13.70","13.80","-0.15","122",
" 88/08/10","259,310","3,603,386","13.85","14.00","13.75","13.95","+0.15","95",
" 88/08/11","1,203,691","17,023,848","14.00","14.50","13.90","14.10","+0.15","222",
" 88/08/12","668,350","9,378,407","14.20","14.20","13.95","14.10"," 0.00","152",
" 88/08/13","1,184,785","17,111,054","14.50","14.70","14.15","14.65","+0.55","279",
" 88/08/16","2,059,529","31,475,341","14.70","15.60","14.70","15.60","+0.95","396",
" 88/08/17","1,251,277","19,535,332","16.20","16.20","15.30","15.50","-0.10","332",
" 88/08/18","1,778,423","28,180,677","15.80","16.00","15.60","15.70","+0.20","413",
" 88/08/19","2,122,092","34,045,773","16.10","16.30","15.80","15.90","+0.20","481",
" 88/08/20","1,040,013","16,347,521","15.80","15.90","15.50","15.80","-0.10","238",
" 88/08/21","2,211,162","35,827,444","15.90","16.40","15.80","16.40","+0.60","477",
" 88/08/23","2,985,000","49,928,700","16.40","17.00","16.40","17.00","+0.60","589",
" 88/08/24","3,281,000","54,117,400","17.10","17.20","16.00","16.20","-0.80","635",
" 88/08/25","977,000","14,960,600","15.40","15.60","15.10","15.30","X0.00","239",
" 88/08/26","1,855,505","28,418,402","15.30","15.50","15.10","15.10","-0.20","365",
" 88/08/27","768,543","11,445,841","15.00","15.20","14.80","14.80","-0.30","190",
" 88/08/30","879,501","12,958,659","14.80","14.95","14.60","14.75","-0.05","161",
" 88/08/31","1,698,877","25,462,831","14.75","15.20","14.75","15.10","+0.35","255",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

