"9208る 2707 垂地             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 92/08/01","88,000","2,506,200","28.50","28.70","28.30","28.30","-0.10","18",
" 92/08/04","62,000","1,761,200","28.30","28.80","28.30","28.60","+0.30","41",
" 92/08/05","122,000","3,463,100","28.30","28.50","28.30","28.50","-0.10","35",
" 92/08/06","15,000","424,200","28.50","28.50","28.20","28.20","-0.30","7",
" 92/08/07","30,000","846,400","28.50","28.50","28.00","28.50","+0.30","16",
" 92/08/08","100,001","2,847,428","28.20","28.50","28.00","28.20","-0.30","23",
" 92/08/11","15,001","421,728","28.20","28.20","28.10","28.10","-0.10","8",
" 92/08/12","49,925","1,400,850","28.10","28.10","28.00","28.00","-0.10","22",
" 92/08/13","122,006","3,454,066","28.00","28.60","28.00","28.20","+0.20","38",
" 92/08/14","27,300","769,113","28.10","28.50","28.10","28.50","+0.30","18",
" 92/08/15","32,000","910,300","28.50","28.50","28.20","28.50"," 0.00","14",
" 92/08/18","76,000","2,161,700","28.40","28.70","28.20","28.50"," 0.00","25",
" 92/08/19","84,500","2,396,574","28.40","28.40","28.20","28.30","-0.20","22",
" 92/08/20","123,000","3,513,500","28.50","28.80","28.30","28.80","+0.50","41",
" 92/08/21","352,600","10,332,490","28.80","29.60","28.80","29.30","+0.50","88",
" 92/08/22","521,500","15,203,672","29.50","29.80","29.00","29.50","+0.20","95",
" 92/08/25","711,963","21,057,162","29.80","30.70","28.10","30.50","+1.00","110",
" 92/08/26","683,000","20,592,600","30.50","30.50","29.50","30.50"," 0.00","72",
" 92/08/27","809,000","24,318,900","29.80","30.90","29.80","30.90","+0.40","73",
" 92/08/28","957,001","28,634,230","30.50","30.50","29.50","29.50","-1.40","66",
" 92/08/29","896,002","26,561,158","29.50","30.90","29.50","30.90","+1.40","58",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

