"104年09月 2801 彰銀             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"104/09/01","8,031,534","125,422,113","15.75","15.75","15.50","15.60","-0.20","2,597",
"104/09/02","10,467,655","163,214,002","15.40","15.80","15.30","15.70","+0.10","3,569",
"104/09/03","7,024,305","110,341,367","15.70","15.80","15.55","15.80","+0.10","2,369",
"104/09/04","6,623,789","104,366,013","15.70","15.85","15.65","15.80"," 0.00","1,829",
"104/09/07","3,819,995","60,099,814","15.60","15.80","15.60","15.75","-0.05","1,751",
"104/09/08","4,339,949","67,623,595","15.75","15.75","15.50","15.50","-0.25","2,241",
"104/09/09","15,488,877","246,560,302","15.80","16.10","15.70","16.05","+0.55","5,095",
"104/09/10","8,391,401","135,089,390","16.05","16.25","15.90","16.25","+0.20","3,602",
"104/09/11","4,314,513","69,346,278","16.00","16.20","16.00","16.15","-0.10","1,950",
"104/09/14","6,777,687","108,889,513","16.20","16.20","15.95","16.10","-0.05","1,958",
"104/09/15","8,237,089","131,778,426","16.10","16.10","15.85","16.10"," 0.00","2,958",
"104/09/16","5,167,085","83,286,873","16.05","16.20","16.00","16.15","+0.05","2,006",
"104/09/17","11,585,450","190,301,034","16.20","16.50","16.15","16.50","+0.35","4,247",
"104/09/18","43,459,830","721,113,599","16.50","17.05","16.30","16.45","-0.05","5,657",
"104/09/21","9,941,270","160,441,917","16.40","16.40","16.00","16.30","-0.15","3,918",
"104/09/22","4,394,153","71,392,461","16.40","16.40","16.10","16.35","+0.05","1,923",
"104/09/23","6,821,994","109,522,779","16.20","16.20","15.95","16.05","-0.30","2,381",
"104/09/24","4,056,853","64,550,313","16.05","16.15","15.80","15.80","-0.25","1,885",
"104/09/25","4,483,071","70,644,959","15.90","15.90","15.60","15.80"," 0.00","1,793",
"104/09/30","11,282,459","180,559,451","15.80","16.20","15.60","16.20","+0.40","3,561",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

