"101年12月 2809 京城銀           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"101/12/03","8,181,154","172,530,720","20.65","21.35","20.60","21.05","+0.50","2,329",
"101/12/04","4,738,396","99,481,130","21.05","21.20","20.80","21.20","+0.15","996",
"101/12/05","12,417,782","267,026,208","21.30","21.70","21.30","21.35","+0.15","2,509",
"101/12/06","3,953,736","83,853,718","21.40","21.45","21.10","21.10","-0.25","1,010",
"101/12/07","3,645,887","77,090,129","21.20","21.30","21.00","21.05","-0.05","714",
"101/12/10","1,479,158","31,236,257","21.20","21.30","21.05","21.10","+0.05","377",
"101/12/11","2,710,675","56,673,002","21.10","21.20","20.75","20.85","-0.25","701",
"101/12/12","4,410,553","93,569,232","21.10","21.30","21.05","21.20","+0.35","1,027",
"101/12/13","3,381,698","71,986,689","21.30","21.40","21.15","21.20"," 0.00","878",
"101/12/14","1,806,148","38,143,008","21.10","21.25","21.00","21.10","-0.10","578",
"101/12/17","1,178,701","24,837,171","21.00","21.25","21.00","21.05","-0.05","323",
"101/12/18","1,250,764","26,528,720","21.10","21.30","21.10","21.20","+0.15","700",
"101/12/19","4,558,995","97,939,988","21.30","21.65","21.30","21.40","+0.20","1,553",
"101/12/20","2,229,295","47,204,975","21.30","21.35","21.05","21.10","-0.30","965",
"101/12/21","2,082,340","43,971,956","21.05","21.20","21.00","21.20","+0.10","888",
"101/12/22","1,035,409","22,022,670","21.20","21.35","21.10","21.35","+0.15","677",
"101/12/24","1,165,659","24,842,933","21.20","21.45","21.20","21.35"," 0.00","344",
"101/12/25","3,707,376","79,363,769","21.45","21.60","21.25","21.50","+0.15","1,351",
"101/12/26","8,212,732","177,636,402","21.50","21.75","21.45","21.65","+0.15","1,339",
"101/12/27","3,828,812","83,133,473","21.65","21.80","21.60","21.65"," 0.00","1,427",
"101/12/28","5,761,759","125,405,652","21.70","21.90","21.65","21.75","+0.10","1,642",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

