"100年05月 2812 台中銀           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"100/05/03","3,110,179","37,353,998","12.05","12.15","11.95","12.00"," 0.00","669",
"100/05/04","5,735,768","68,060,282","11.90","12.00","11.70","11.95","-0.05","879",
"100/05/05","4,376,732","52,365,639","11.90","12.05","11.80","12.00","+0.05","759",
"100/05/06","3,409,733","40,541,076","12.00","12.00","11.75","11.90","-0.10","543",
"100/05/09","5,879,765","71,567,577","11.90","12.30","11.90","12.20","+0.30","1,200",
"100/05/10","2,741,715","33,381,191","12.30","12.30","12.10","12.15","-0.05","574",
"100/05/11","2,982,581","36,106,984","12.20","12.25","12.00","12.05","-0.10","573",
"100/05/12","3,646,539","43,682,424","12.00","12.05","11.90","12.00","-0.05","744",
"100/05/13","5,029,171","59,755,649","12.00","12.05","11.80","11.85","-0.15","863",
"100/05/16","2,937,979","34,682,645","11.85","11.95","11.70","11.70","-0.15","470",
"100/05/17","2,936,633","34,524,580","11.70","11.90","11.65","11.80","+0.10","558",
"100/05/18","3,739,726","44,252,342","11.90","11.95","11.75","11.90","+0.10","982",
"100/05/19","5,098,536","60,741,762","11.90","12.10","11.75","11.75","-0.15","1,071",
"100/05/20","3,948,339","46,365,774","11.80","11.95","11.60","11.65","-0.10","612",
"100/05/23","3,661,560","42,501,107","11.60","11.70","11.50","11.65"," 0.00","622",
"100/05/24","4,808,561","56,371,255","11.85","11.85","11.60","11.70","+0.05","778",
"100/05/25","2,630,178","30,606,442","11.70","11.70","11.60","11.60","-0.10","480",
"100/05/26","2,017,424","23,574,127","11.70","11.75","11.65","11.65","+0.05","458",
"100/05/27","1,750,814","20,401,437","11.70","11.75","11.60","11.60","-0.05","345",
"100/05/30","2,516,712","29,251,649","11.55","11.70","11.55","11.60"," 0.00","336",
"100/05/31","5,120,423","60,060,584","11.60","11.85","11.60","11.75","+0.15","665",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

