"9707る 2823 い关             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 97/07/01","2,771,259","62,628,505","22.75","22.90","22.35","22.50","+0.05","1,006",
" 97/07/02","6,022,562","141,018,113","22.70","24.00","22.70","23.25","+0.75","2,119",
" 97/07/03","4,774,569","108,559,790","22.70","23.45","21.75","23.25"," 0.00","1,488",
" 97/07/04","5,061,940","118,445,075","22.65","23.85","22.65","23.65","+0.40","1,770",
" 97/07/07","4,251,280","102,251,288","23.25","24.50","23.25","24.00","+0.35","1,185",
" 97/07/08","4,326,497","102,983,773","24.00","24.10","23.60","23.80","-0.20","1,139",
" 97/07/09","3,566,021","85,373,990","24.40","24.40","22.20","23.90","+0.10","940",
" 97/07/10","2,214,482","52,899,401","23.75","24.35","23.25","23.25","-0.65","1,051",
" 97/07/11","2,577,222","59,931,842","23.30","23.70","22.70","23.30","+0.05","1,079",
" 97/07/14","1,409,149","32,185,465","23.00","23.30","22.30","22.75","-0.55","584",
" 97/07/15","4,591,246","97,726,011","21.50","21.90","21.20","21.25","-1.50","1,026",
" 97/07/16","1,725,924","35,898,482","21.60","21.75","20.05","20.05","-1.20","766",
" 97/07/17","2,518,113","52,728,538","20.60","21.20","20.60","20.85","+0.80","740",
" 97/07/18","2,025,497","41,404,311","21.70","21.70","19.60","19.60","-1.25","679",
" 97/07/21","971,040","20,113,286","19.90","20.95","19.90","20.95","+1.35","423",
" 97/07/22","1,283,713","27,511,817","21.00","21.80","20.95","21.70","+0.75","529",
" 97/07/23","3,843,642","88,294,035","22.00","23.20","22.00","22.95","+1.25","934",
" 97/07/24","3,644,282","86,764,166","23.95","24.20","23.10","23.85","+0.90","1,063",
" 97/07/25","1,277,915","30,116,887","23.50","23.75","23.30","23.60","-0.25","437",
" 97/07/29","846,285","19,234,415","23.00","23.40","22.45","22.90","-0.70","424",
" 97/07/30","1,713,941","39,505,507","23.50","23.50","22.60","22.75","-0.15","700",
" 97/07/31","2,481,417","55,485,198","23.00","23.20","22.10","22.30","-0.45","414",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

