"105年09月 2823 中壽             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/09/01","14,878,579","417,965,125","28.25","28.40","27.85","27.85","-0.25","4,977",
"105/09/02","23,590,841","675,097,641","28.20","28.95","28.20","28.70","+0.85","9,863",
"105/09/05","9,258,962","266,780,972","28.85","29.05","28.60","28.65","-0.05","3,826",
"105/09/06","6,683,766","191,802,641","28.80","28.85","28.60","28.70","+0.05","2,593",
"105/09/07","13,823,961","402,041,365","28.75","29.20","28.75","29.10","+0.40","5,051",
"105/09/08","13,542,989","397,103,231","29.20","29.45","29.15","29.20","+0.10","5,784",
"105/09/09","8,837,883","256,343,179","29.00","29.10","28.85","28.85","-0.35","3,634",
"105/09/10","5,471,789","155,600,441","28.40","28.60","28.30","28.45","-0.40","2,070",
"105/09/12","13,973,165","391,809,835","28.15","28.25","27.80","28.10","-0.35","4,569",
"105/09/13","10,090,452","285,254,490","28.20","28.45","28.05","28.40","+0.30","4,735",
"105/09/14","6,906,069","194,907,026","28.10","28.40","28.05","28.25","-0.15","2,564",
"105/09/19","15,143,878","437,116,099","28.60","29.05","28.40","28.85","+0.60","5,992",
"105/09/20","9,114,103","263,500,330","28.85","29.05","28.80","28.90","+0.05","4,444",
"105/09/21","9,607,329","279,631,154","28.95","29.35","28.85","29.35","+0.45","4,362",
"105/09/22","8,717,115","255,342,429","29.45","29.55","29.15","29.25","-0.10","3,919",
"105/09/23","9,756,174","286,145,308","29.45","29.45","29.25","29.35","+0.10","3,565",
"105/09/26","7,505,351","216,956,482","29.30","29.30","28.75","28.75","-0.60","3,222",
"105/09/29","17,056,989","497,641,420","28.75","29.30","28.75","29.30","+0.55","7,024",
"105/09/30","11,423,304","328,788,859","29.10","29.10","28.65","28.65","-0.65","3,435",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

