"94年06月 2834 臺企銀           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 94/06/01","28,109,147","278,813,217","10.00","10.05","9.86","9.86","-0.14","3,428",
" 94/06/02","41,579,211","414,383,790","9.90","10.10","9.90","9.92","+0.06","3,679",
" 94/06/03","28,942,156","289,288,714","10.00","10.05","9.95","10.00","+0.08","2,623",
" 94/06/06","35,325,015","354,794,744","10.05","10.10","9.96","10.10","+0.10","2,997",
" 94/06/07","291,183,965","2,975,180,711","10.10","10.35","10.10","10.10"," 0.00","18,346",
" 94/06/08","66,790,466","672,597,253","10.15","10.20","10.00","10.00","-0.10","6,067",
" 94/06/09","63,618,644","641,541,196","10.05","10.20","10.00","10.00"," 0.00","6,031",
" 94/06/10","62,489,106","637,363,344","10.15","10.30","10.10","10.15","+0.15","5,308",
" 94/06/13","98,124,021","1,009,970,971","10.20","10.35","10.10","10.30","+0.15","8,844",
" 94/06/14","53,036,242","544,578,098","10.40","10.45","10.10","10.10","-0.20","5,721",
" 94/06/15","32,815,597","331,977,748","10.15","10.20","10.05","10.15","+0.05","3,403",
" 94/06/16","36,343,664","367,603,856","10.20","10.20","10.05","10.05","-0.10","4,725",
" 94/06/17","43,774,285","444,162,526","10.10","10.25","10.05","10.10","+0.05","3,891",
" 94/06/20","20,944,061","210,762,043","10.15","10.15","10.00","10.00","-0.10","1,794",
" 94/06/21","22,781,018","228,925,022","10.00","10.10","10.00","10.05","+0.05","2,051",
" 94/06/22","34,850,415","353,518,642","10.10","10.20","10.05","10.10","+0.05","3,301",
" 94/06/23","95,219,600","980,563,144","10.15","10.35","10.15","10.30","+0.20","8,306",
" 94/06/24","55,198,265","570,170,809","10.30","10.40","10.20","10.30"," 0.00","4,318",
" 94/06/27","37,158,362","383,665,487","10.30","10.40","10.25","10.30"," 0.00","3,164",
" 94/06/28","90,986,022","950,723,797","10.35","10.55","10.25","10.50","+0.20","7,337",
" 94/06/29","91,833,013","970,149,648","10.65","10.70","10.45","10.50"," 0.00","8,058",
" 94/06/30","33,799,580","351,540,461","10.55","10.60","10.30","10.35","-0.15","3,271",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

