"9209る 2845 环狥蝗           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 92/09/01","55,408,247","938,309,378","16.80","17.10","16.70","16.80","+0.30","7,793",
" 92/09/02","33,407,839","561,776,843","16.80","17.00","16.60","16.80"," 0.00","4,845",
" 92/09/03","29,895,717","495,798,311","16.90","17.00","16.30","16.40","-0.40","4,719",
" 92/09/04","39,278,564","642,092,776","16.40","16.70","16.00","16.00","-0.40","5,836",
" 92/09/05","24,344,595","387,852,959","16.10","16.10","15.80","15.80","-0.20","4,107",
" 92/09/08","22,110,535","347,935,017","15.60","16.00","15.50","15.70","-0.10","3,247",
" 92/09/09","27,471,928","427,283,143","15.90","15.90","15.20","15.20","-0.50","4,132",
" 92/09/10","29,726,478","443,420,873","15.20","15.30","14.75","14.85","-0.35","4,754",
" 92/09/12","10,795,517","162,757,403","15.00","15.20","14.95","15.20","+0.35","2,151",
" 92/09/15","15,955,596","243,719,802","15.20","15.40","15.10","15.20"," 0.00","2,734",
" 92/09/16","13,061,930","200,757,535","15.30","15.50","15.30","15.40","+0.20","2,422",
" 92/09/17","14,380,313","220,721,456","15.50","15.60","15.20","15.30","-0.10","2,497",
" 92/09/18","13,988,018","213,628,024","15.30","15.40","15.20","15.20","-0.10","2,342",
" 92/09/19","27,056,278","418,333,477","15.30","15.70","15.20","15.40","+0.20","4,089",
" 92/09/22","24,020,714","374,731,841","15.60","15.80","15.30","15.50","+0.10","3,610",
" 92/09/23","9,252,843","143,162,509","15.60","15.70","15.30","15.40","-0.10","1,669",
" 92/09/24","18,263,948","284,374,076","15.50","15.70","15.40","15.50","+0.10","2,400",
" 92/09/25","17,083,935","265,132,923","15.30","15.70","15.20","15.50"," 0.00","2,673",
" 92/09/26","29,281,666","461,103,715","15.60","16.00","15.40","15.60","+0.10","4,622",
" 92/09/29","12,089,525","187,836,371","15.50","15.70","15.40","15.50","-0.10","1,621",
" 92/09/30","27,850,130","425,216,296","15.60","15.60","15.00","15.20","-0.30","2,974",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

