"106年11月 2845 遠東銀           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/11/01","1,091,018","10,232,956","9.37","9.40","9.36","9.36"," 0.00","295",
"106/11/02","581,096","5,445,577","9.40","9.40","9.36","9.37","+0.01","221",
"106/11/03","1,246,790","11,695,758","9.37","9.39","9.37","9.38","+0.01","221",
"106/11/06","927,616","8,693,384","9.39","9.40","9.36","9.37","-0.01","275",
"106/11/07","1,117,929","10,472,487","9.37","9.38","9.36","9.37"," 0.00","281",
"106/11/08","1,320,475","12,361,816","9.37","9.39","9.34","9.38","+0.01","414",
"106/11/09","1,216,478","11,390,233","9.37","9.38","9.35","9.38"," 0.00","342",
"106/11/10","655,525","6,135,042","9.38","9.38","9.35","9.36","-0.02","244",
"106/11/13","1,081,133","10,113,732","9.35","9.38","9.34","9.36"," 0.00","434",
"106/11/14","1,756,092","16,424,840","9.37","9.37","9.34","9.36"," 0.00","375",
"106/11/15","1,822,223","17,100,170","9.34","9.44","9.34","9.43","+0.07","360",
"106/11/16","1,353,121","12,713,213","9.42","9.42","9.37","9.41","-0.02","342",
"106/11/17","1,379,184","12,956,013","9.40","9.41","9.38","9.41"," 0.00","330",
"106/11/20","1,460,669","13,718,641","9.41","9.41","9.37","9.39","-0.02","319",
"106/11/21","4,947,550","46,678,554","9.39","9.46","9.39","9.44","+0.05","1,015",
"106/11/22","6,165,572","58,711,919","9.47","9.59","9.47","9.57","+0.13","1,126",
"106/11/23","2,422,601","23,143,686","9.56","9.57","9.53","9.57"," 0.00","595",
"106/11/24","1,635,353","15,608,622","9.57","9.57","9.52","9.53","-0.04","375",
"106/11/27","1,118,346","10,636,650","9.53","9.55","9.49","9.50","-0.03","379",
"106/11/28","1,035,581","9,845,791","9.46","9.54","9.46","9.50"," 0.00","305",
"106/11/29","818,921","7,793,352","9.52","9.55","9.50","9.53","+0.03","310",
"106/11/30","3,386,841","32,345,423","9.53","9.58","9.50","9.58","+0.05","1,179",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

