"90年03月 2847 大眾銀           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 90/03/01","2,586,261","14,304,492","5.60","5.70","5.40","5.50","-0.25","321",
" 90/03/02","4,335,463","24,935,980","5.65","5.85","5.65","5.85","+0.35","536",
" 90/03/05","3,118,901","18,308,595","5.90","6.00","5.70","5.85"," 0.00","420",
" 90/03/06","2,121,419","12,455,483","6.00","6.00","5.80","5.85"," 0.00","274",
" 90/03/07","2,119,380","12,297,077","5.85","5.90","5.75","5.80","-0.05","261",
" 90/03/08","887,055","5,068,013","5.80","5.80","5.65","5.65","-0.15","179",
" 90/03/09","1,820,289","10,418,558","5.65","5.80","5.65","5.80","+0.15","209",
" 90/03/12","1,813,068","10,194,578","5.70","5.75","5.55","5.60","-0.20","218",
" 90/03/13","1,512,802","8,473,911","5.50","5.70","5.50","5.65","+0.05","256",
" 90/03/14","642,513","3,623,279","5.65","5.70","5.60","5.65"," 0.00","115",
" 90/03/15","1,369,023","7,675,495","5.65","5.65","5.55","5.55","-0.10","189",
" 90/03/16","3,131,619","18,057,313","5.65","5.85","5.60","5.80","+0.25","436",
" 90/03/19","1,220,462","6,942,613","5.80","5.80","5.60","5.60","-0.20","217",
" 90/03/20","1,283,557","7,177,215","5.65","5.65","5.55","5.55","-0.05","203",
" 90/03/21","1,265,039","7,046,498","5.55","5.70","5.50","5.55"," 0.00","186",
" 90/03/22","1,277,225","7,085,604","5.55","5.60","5.50","5.55"," 0.00","218",
" 90/03/23","1,244,163","6,992,698","5.55","5.70","5.55","5.60","+0.05","202",
" 90/03/26","2,003,958","11,355,366","5.60","5.75","5.60","5.75","+0.15","259",
" 90/03/27","2,518,581","14,508,121","5.80","5.80","5.70","5.80","+0.05","295",
" 90/03/28","1,965,205","11,316,778","5.80","5.80","5.70","5.80"," 0.00","199",
" 90/03/29","1,303,163","7,431,837","5.75","5.80","5.60","5.75","-0.05","183",
" 90/03/30","1,088,153","6,107,273","5.60","5.70","5.60","5.60","-0.15","147",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

