"93年05月 2854 寶來證           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 93/05/03","4,010,945","72,893,778","18.40","18.50","17.80","18.00","-0.60","913",
" 93/05/04","6,953,149","128,625,695","18.40","18.60","18.30","18.60","+0.60","1,131",
" 93/05/05","14,588,162","263,487,593","18.90","19.10","17.30","17.80","-0.80","2,481",
" 93/05/06","8,303,040","145,934,660","17.80","18.20","16.80","17.50","-0.30","1,558",
" 93/05/07","9,262,144","162,898,667","17.30","17.80","17.20","17.80","+0.30","1,422",
" 93/05/10","18,773,171","312,987,862","17.30","17.30","16.60","16.90","-0.90","2,029",
" 93/05/11","8,013,018","133,450,723","16.80","17.20","16.00","17.00","+0.10","1,605",
" 93/05/12","7,759,353","136,581,294","17.50","17.80","17.40","17.60","+0.60","1,475",
" 93/05/13","6,645,982","116,229,445","17.60","17.90","17.30","17.90","+0.30","868",
" 93/05/14","13,747,388","239,634,735","17.90","17.90","17.30","17.40","-0.50","1,189",
" 93/05/17","11,764,121","191,991,955","16.50","16.80","16.20","16.80","-0.60","1,439",
" 93/05/18","10,357,597","171,189,083","16.50","16.80","16.40","16.40","-0.40","1,432",
" 93/05/19","21,886,692","372,111,727","16.50","17.30","16.50","17.20","+0.80","3,166",
" 93/05/20","9,797,673","166,494,708","16.90","17.40","16.60","17.10","-0.10","1,706",
" 93/05/21","9,440,538","165,126,184","17.20","17.80","16.90","17.80","+0.70","1,964",
" 93/05/24","4,241,864","74,686,133","17.60","17.90","17.30","17.50","-0.30","882",
" 93/05/25","4,688,501","82,584,889","17.50","18.00","17.30","17.50"," 0.00","971",
" 93/05/26","9,958,076","180,270,253","17.90","18.30","17.90","18.00","+0.50","1,654",
" 93/05/27","6,216,974","113,089,301","18.30","18.40","18.00","18.20","+0.20","1,214",
" 93/05/28","7,716,511","141,725,335","18.40","18.50","18.20","18.40","+0.20","1,301",
" 93/05/31","5,113,261","91,824,966","18.50","18.50","17.60","17.60","-0.80","988",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

