"9907る 2855 参靡           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 99/07/01","981,703","15,595,362","15.90","16.10","15.80","15.80","-0.10","237",
" 99/07/02","1,727,986","28,072,268","15.90","16.50","15.85","16.25","+0.45","497",
" 99/07/05","915,634","15,031,410","16.35","16.60","16.20","16.45","+0.20","349",
" 99/07/06","1,857,080","31,098,296","16.50","17.00","16.45","17.00","+0.55","676",
" 99/07/07","1,361,270","23,105,882","17.00","17.15","16.80","16.85","-0.15","373",
" 99/07/08","1,500,641","25,637,027","17.10","17.20","17.00","17.15","+0.30","372",
" 99/07/09","621,386","10,604,196","17.15","17.20","17.00","17.00","-0.15","207",
" 99/07/12","891,776","15,306,060","17.30","17.30","17.00","17.00"," 0.00","319",
" 99/07/13","547,664","9,234,853","17.05","17.05","16.80","16.85","-0.15","175",
" 99/07/14","1,558,550","26,784,208","17.00","17.40","17.00","17.40","+0.55","434",
" 99/07/15","1,495,679","26,076,177","17.50","17.55","17.20","17.30","-0.10","507",
" 99/07/16","1,442,993","25,087,627","17.40","17.60","17.20","17.30"," 0.00","398",
" 99/07/19","575,351","9,856,767","17.10","17.30","17.00","17.10","-0.20","237",
" 99/07/20","484,459","8,319,315","17.15","17.25","17.10","17.25","+0.15","188",
" 99/07/21","889,637","15,238,391","17.30","17.30","17.00","17.10","-0.15","324",
" 99/07/22","420,673","7,189,520","17.10","17.20","16.95","17.05","-0.05","140",
" 99/07/23","1,104,241","19,172,374","17.20","17.50","17.20","17.45","+0.40","305",
" 99/07/26","1,571,676","27,625,326","17.45","17.80","17.35","17.80","+0.35","462",
" 99/07/27","951,246","16,773,539","17.85","17.90","17.50","17.50","-0.30","303",
" 99/07/28","627,789","11,092,556","17.45","17.75","17.45","17.70","+0.20","233",
" 99/07/29","1,017,902","17,987,116","17.70","17.75","17.60","17.65","-0.05","301",
" 99/07/30","1,004,296","17,623,438","17.55","17.70","17.45","17.55","-0.10","329",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

