"107年03月 2855 統一證           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/03/01","715,890","10,509,769","14.60","14.75","14.55","14.75"," 0.00","299",
"107/03/02","989,365","14,397,336","14.60","14.65","14.50","14.55","-0.20","397",
"107/03/05","1,018,039","14,724,608","14.55","14.55","14.40","14.45","-0.10","361",
"107/03/06","513,316","7,448,408","14.55","14.60","14.45","14.50","+0.05","188",
"107/03/07","378,083","5,493,497","14.45","14.60","14.45","14.50"," 0.00","158",
"107/03/08","2,052,426","29,515,309","14.50","14.50","14.30","14.40","-0.10","550",
"107/03/09","1,398,254","19,992,276","14.40","14.40","14.25","14.35","-0.05","346",
"107/03/12","1,454,674","20,915,828","14.40","14.45","14.35","14.45","+0.10","342",
"107/03/13","952,244","13,677,095","14.45","14.45","14.30","14.45"," 0.00","385",
"107/03/14","1,388,421","20,091,508","14.40","14.55","14.35","14.50","+0.05","412",
"107/03/15","333,259","4,811,122","14.45","14.50","14.40","14.45","-0.05","121",
"107/03/16","2,102,750","31,014,439","14.45","14.90","14.40","14.90","+0.45","466",
"107/03/19","1,013,465","14,840,598","14.75","14.75","14.55","14.55","-0.35","351",
"107/03/20","392,228","5,687,937","14.50","14.55","14.45","14.50","-0.05","152",
"107/03/21","399,452","5,791,251","14.50","14.55","14.45","14.50"," 0.00","188",
"107/03/22","538,308","7,799,957","14.45","14.55","14.45","14.50"," 0.00","278",
"107/03/23","980,974","14,027,674","14.30","14.40","14.25","14.30","-0.20","286",
"107/03/26","814,422","11,579,139","14.15","14.30","14.15","14.25","-0.05","303",
"107/03/27","1,905,709","27,857,139","14.65","14.65","14.55","14.60","+0.35","613",
"107/03/28","806,873","11,799,515","14.60","14.65","14.55","14.65","+0.05","258",
"107/03/29","877,686","12,880,261","14.65","14.75","14.60","14.70","+0.05","302",
"107/03/30","768,096","11,297,715","14.70","14.75","14.65","14.70"," 0.00","271",
"107/03/31","538,707","7,943,340","14.75","14.80","14.70","14.70"," 0.00","159",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

