"102年05月 2856 元富證           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"102/05/02","563,812","5,206,364","9.20","9.27","9.20","9.21"," 0.00","194",
"102/05/03","835,585","7,744,948","9.26","9.31","9.23","9.25","+0.04","288",
"102/05/06","356,836","3,318,206","9.35","9.35","9.25","9.25"," 0.00","147",
"102/05/07","329,207","3,044,162","9.26","9.26","9.22","9.25"," 0.00","132",
"102/05/08","1,669,006","15,535,906","9.26","9.34","9.26","9.30","+0.05","430",
"102/05/09","1,312,841","12,355,003","9.40","9.44","9.38","9.40","+0.10","391",
"102/05/10","1,438,806","13,659,501","9.45","9.52","9.45","9.48","+0.08","437",
"102/05/13","830,116","7,860,342","9.50","9.51","9.42","9.42","-0.06","225",
"102/05/14","928,430","8,772,602","9.42","9.49","9.42","9.44","+0.02","252",
"102/05/15","2,215,421","21,186,906","9.50","9.66","9.48","9.64","+0.20","572",
"102/05/16","16,990,104","172,458,985","10.20","10.30","9.98","10.25","+0.61","2,450",
"102/05/17","6,100,803","61,903,580","10.25","10.30","10.00","10.05","-0.20","1,030",
"102/05/20","3,693,611","37,283,261","10.00","10.25","9.95","10.25","+0.20","581",
"102/05/21","4,177,653","42,808,070","10.25","10.35","10.15","10.20","-0.05","592",
"102/05/22","6,099,685","62,616,513","10.25","10.35","10.15","10.30","+0.10","865",
"102/05/23","4,207,463","42,834,047","10.20","10.30","10.05","10.10","-0.20","651",
"102/05/24","3,195,710","32,109,408","10.10","10.15","10.00","10.00","-0.10","334",
"102/05/27","1,745,855","17,706,532","10.00","10.20","10.00","10.20","+0.20","233",
"102/05/28","2,467,506","25,257,708","10.20","10.30","10.15","10.25","+0.05","271",
"102/05/29","3,577,473","36,892,667","10.30","10.40","10.25","10.25"," 0.00","464",
"102/05/30","2,465,692","25,072,484","10.25","10.30","10.05","10.20","-0.05","449",
"102/05/31","8,930,903","94,248,584","10.40","10.75","10.40","10.50","+0.30","1,639",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

