"10504る 2867 坝关           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/04/01","1,223,195","19,370,135","15.80","15.95","15.75","15.95","+0.15","465",
"105/04/06","1,396,119","22,122,631","15.90","15.90","15.80","15.85","-0.10","645",
"105/04/07","2,652,476","41,773,089","15.85","15.90","15.65","15.75","-0.10","975",
"105/04/08","904,521","14,220,152","15.70","15.80","15.65","15.80","+0.05","456",
"105/04/11","1,061,745","16,651,480","15.70","15.75","15.60","15.75","-0.05","557",
"105/04/12","2,899,087","45,274,950","15.75","15.80","15.50","15.55","-0.20","913",
"105/04/13","1,084,731","16,996,117","15.60","15.75","15.60","15.70","+0.15","370",
"105/04/14","1,169,950","18,455,356","15.75","15.85","15.70","15.85","+0.15","418",
"105/04/15","815,473","12,862,243","15.80","15.85","15.70","15.80","-0.05","383",
"105/04/18","2,465,642","38,315,277","15.60","15.70","15.45","15.55","-0.25","704",
"105/04/19","865,209","13,462,102","15.55","15.60","15.50","15.55"," 0.00","492",
"105/04/20","1,875,005","29,085,424","15.50","15.65","15.40","15.55"," 0.00","964",
"105/04/21","3,454,850","53,589,425","15.55","15.85","15.40","15.85","+0.30","890",
"105/04/22","1,451,833","22,747,241","15.80","15.80","15.55","15.60","-0.25","719",
"105/04/25","602,247","9,418,950","15.60","15.70","15.55","15.70","+0.10","288",
"105/04/26","479,954","7,497,377","15.70","15.70","15.55","15.60","-0.10","286",
"105/04/27","627,492","9,769,094","15.55","15.65","15.50","15.55","-0.05","355",
"105/04/28","1,524,416","23,714,687","15.55","15.65","15.50","15.55"," 0.00","896",
"105/04/29","1,729,889","26,723,025","15.55","15.55","15.35","15.55"," 0.00","661",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

