"106年08月 2867 三商壽           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/08/01","2,023,605","31,817,066","15.75","15.80","15.70","15.75","-0.05","561",
"106/08/02","1,827,692","28,682,336","15.70","15.75","15.65","15.70","-0.05","667",
"106/08/03","2,064,809","32,444,533","15.65","15.75","15.65","15.75","+0.05","725",
"106/08/04","2,976,221","46,848,724","15.75","15.85","15.65","15.80","+0.05","613",
"106/08/07","1,968,253","31,142,027","15.80","15.90","15.75","15.80"," 0.00","570",
"106/08/08","2,112,875","33,574,654","15.90","16.00","15.80","15.85","+0.05","552",
"106/08/09","994,564","15,682,102","15.80","15.80","15.70","15.75","-0.10","422",
"106/08/10","2,513,797","39,250,563","15.80","15.80","15.50","15.60","-0.15","829",
"106/08/11","1,759,694","27,402,797","15.45","15.70","15.45","15.65","+0.05","540",
"106/08/14","1,320,953","20,529,963","15.65","15.65","15.50","15.50","-0.15","536",
"106/08/15","1,432,139","22,279,477","15.55","15.60","15.50","15.55","+0.05","447",
"106/08/16","851,120","13,261,202","15.60","15.65","15.50","15.55"," 0.00","521",
"106/08/17","1,194,268","18,729,790","15.60","15.75","15.60","15.70","+0.15","445",
"106/08/18","1,271,344","19,886,356","15.65","15.70","15.60","15.65","-0.05","618",
"106/08/21","899,295","14,046,358","15.65","15.70","15.60","15.65"," 0.00","320",
"106/08/22","1,205,232","18,752,912","15.65","15.65","15.50","15.60","-0.05","453",
"106/08/23","1,226,262","19,079,764","15.55","15.65","15.50","15.55","-0.05","514",
"106/08/24","1,466,949","22,802,294","15.55","15.60","15.50","15.55"," 0.00","461",
"106/08/25","1,130,119","17,583,786","15.55","15.60","15.50","15.55"," 0.00","363",
"106/08/28","7,828,007","123,771,212","15.60","16.05","15.60","16.00","+0.45","1,367",
"106/08/29","3,374,945","54,186,654","16.10","16.15","16.00","16.05","+0.05","855",
"106/08/30","2,027,034","32,544,731","16.10","16.10","16.00","16.10","+0.05","699",
"106/08/31","4,128,211","66,705,285","16.10","16.30","16.05","16.15","+0.05","891",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

