"9408る 2880 地玭           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 94/08/01","4,868,563","120,294,108","24.70","24.95","24.60","24.65"," 0.00","863",
" 94/08/02","7,081,462","175,743,873","24.75","24.90","24.65","24.90","+0.25","1,099",
" 94/08/03","10,487,813","262,802,286","25.00","25.20","24.95","25.20","+0.30","1,788",
" 94/08/04","24,826,478","632,185,595","25.20","25.60","25.20","25.50","+0.30","3,233",
" 94/08/08","26,500,505","675,592,621","25.45","25.60","25.40","25.40","-0.10","2,437",
" 94/08/09","27,662,000","694,271,200","25.30","25.35","24.90","25.30","-0.10","3,132",
" 94/08/10","14,596,000","342,536,550","23.70","23.70","23.30","23.30","X0.00","2,300",
" 94/08/11","5,896,954","137,599,942","23.45","23.45","23.20","23.30"," 0.00","1,029",
" 94/08/12","7,513,425","175,968,697","23.40","23.65","23.30","23.30"," 0.00","1,407",
" 94/08/15","5,981,554","138,065,985","23.30","23.40","23.00","23.05","-0.25","1,308",
" 94/08/16","5,028,102","115,882,558","23.05","23.20","22.95","23.00","-0.05","750",
" 94/08/17","4,114,672","94,267,095","22.95","23.05","22.85","22.85","-0.15","1,029",
" 94/08/18","7,881,012","178,610,115","22.70","22.85","22.55","22.65","-0.20","1,407",
" 94/08/19","5,385,582","121,475,899","22.65","22.65","22.45","22.50","-0.15","1,110",
" 94/08/22","2,525,771","57,313,296","22.55","22.85","22.50","22.70","+0.20","566",
" 94/08/23","3,593,544","81,419,306","22.70","22.80","22.60","22.65","-0.05","554",
" 94/08/24","5,461,410","122,540,025","22.65","22.65","22.30","22.30","-0.35","1,103",
" 94/08/25","3,961,059","87,983,663","22.20","22.30","22.15","22.25","-0.05","890",
" 94/08/26","2,721,199","60,886,978","22.25","22.50","22.25","22.45","+0.20","682",
" 94/08/29","4,724,390","105,062,657","22.40","22.55","22.05","22.10","-0.35","914",
" 94/08/30","4,718,630","104,419,782","22.25","22.30","22.05","22.10"," 0.00","682",
" 94/08/31","4,713,907","103,994,382","22.00","22.20","21.95","22.00","-0.10","983",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

