"107年12月 2880 華南金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/12/03","7,438,305","131,810,014","17.75","17.80","17.65","17.75","+0.20","2,397",
"107/12/04","11,437,819","203,140,989","17.70","17.85","17.65","17.85","+0.10","3,356",
"107/12/05","6,736,020","119,639,121","17.75","17.80","17.65","17.75","-0.10","2,397",
"107/12/06","11,851,409","209,132,679","17.70","17.75","17.55","17.70","-0.05","2,730",
"107/12/07","4,672,035","82,540,801","17.70","17.70","17.60","17.70"," 0.00","1,384",
"107/12/10","8,507,926","149,330,192","17.60","17.65","17.50","17.60","-0.10","2,595",
"107/12/11","6,473,625","113,679,131","17.60","17.60","17.50","17.60"," 0.00","1,801",
"107/12/12","6,105,891","107,488,512","17.70","17.70","17.55","17.60"," 0.00","1,958",
"107/12/13","8,009,049","140,769,568","17.60","17.65","17.55","17.60"," 0.00","3,212",
"107/12/14","8,321,543","145,922,360","17.55","17.60","17.50","17.55","-0.05","3,072",
"107/12/17","6,269,130","110,064,724","17.60","17.60","17.50","17.55"," 0.00","1,636",
"107/12/18","11,212,436","195,476,289","17.50","17.50","17.40","17.45","-0.10","4,212",
"107/12/19","13,836,548","242,047,342","17.45","17.60","17.40","17.60","+0.15","2,930",
"107/12/20","8,885,077","155,393,363","17.45","17.55","17.40","17.55","-0.05","3,365",
"107/12/21","9,342,827","162,843,097","17.50","17.50","17.40","17.40","-0.15","1,912",
"107/12/22","3,801,756","66,152,156","17.40","17.50","17.35","17.45","+0.05","1,721",
"107/12/24","6,846,723","119,467,532","17.45","17.55","17.35","17.55","+0.10","2,303",
"107/12/25","6,719,424","116,658,147","17.35","17.40","17.30","17.35","-0.20","2,415",
"107/12/26","5,056,675","87,588,259","17.35","17.40","17.30","17.30","-0.05","2,022",
"107/12/27","8,182,296","142,307,743","17.35","17.45","17.30","17.40","+0.10","1,873",
"107/12/28","4,933,440","86,111,516","17.40","17.50","17.35","17.50","+0.10","1,685",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

