"10201る 2881 碔ü           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"102/01/02","18,868,978","664,601,230","35.35","35.35","35.00","35.10"," 0.00","5,578",
"102/01/03","22,454,241","791,443,950","35.20","35.40","35.15","35.30","+0.20","5,126",
"102/01/04","13,830,415","484,034,859","35.30","35.30","34.85","35.00","-0.30","3,667",
"102/01/07","17,034,745","598,550,655","35.00","35.35","34.95","35.35","+0.35","5,291",
"102/01/08","15,042,039","528,958,469","35.30","35.40","34.95","35.10","-0.25","3,802",
"102/01/09","37,251,161","1,333,062,304","35.05","36.15","35.00","36.00","+0.90","10,333",
"102/01/10","53,229,033","1,961,460,771","36.30","37.20","36.05","37.20","+1.20","15,345",
"102/01/11","31,553,383","1,169,094,596","37.50","37.75","36.70","36.70","-0.50","8,873",
"102/01/14","17,049,487","621,336,976","36.40","36.80","36.15","36.80","+0.10","5,260",
"102/01/15","23,383,297","846,096,274","36.80","36.85","35.80","35.80","-1.00","7,722",
"102/01/16","16,422,472","587,006,694","36.00","36.00","35.50","35.50","-0.30","5,485",
"102/01/17","25,856,966","922,881,164","35.60","36.30","35.10","35.20","-0.30","7,710",
"102/01/18","22,283,570","802,586,535","35.80","36.30","35.60","36.30","+1.10","6,477",
"102/01/21","13,977,742","507,859,930","36.40","36.50","36.00","36.40","+0.10","4,113",
"102/01/22","19,630,946","719,654,051","36.50","36.95","36.25","36.95","+0.55","5,440",
"102/01/23","13,532,614","498,082,417","36.95","37.00","36.65","36.80","-0.15","4,969",
"102/01/24","16,163,300","590,031,760","36.65","36.80","36.10","36.50","-0.30","5,131",
"102/01/25","12,433,690","452,313,963","36.80","36.80","36.15","36.40","-0.10","3,959",
"102/01/28","15,560,962","570,501,161","36.60","36.80","36.30","36.80","+0.40","4,329",
"102/01/29","13,490,548","496,160,358","36.95","37.00","36.65","36.85","+0.05","3,720",
"102/01/30","28,661,303","1,069,498,961","37.00","37.45","37.00","37.20","+0.35","8,088",
"102/01/31","28,589,382","1,072,332,957","37.40","37.75","37.20","37.75","+0.55","7,836",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

