"106年06月 2881 富邦金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/06/01","18,764,978","864,105,600","45.90","46.25","45.85","45.95","+0.10","5,536",
"106/06/02","16,536,228","761,812,729","46.25","46.30","45.95","46.15","+0.20","5,186",
"106/06/03","4,528,639","209,942,098","46.30","46.50","46.20","46.45","+0.30","1,834",
"106/06/05","25,776,129","1,186,795,834","46.10","46.30","45.95","46.05","-0.40","9,644",
"106/06/06","24,859,591","1,140,624,179","46.00","46.00","45.80","45.90","-0.15","7,497",
"106/06/07","27,061,629","1,241,348,781","45.80","45.95","45.80","45.85","-0.05","6,958",
"106/06/08","26,319,382","1,207,693,545","45.70","46.10","45.70","45.85"," 0.00","7,848",
"106/06/09","21,648,314","994,218,244","45.90","46.15","45.80","45.80","-0.05","5,319",
"106/06/12","21,536,289","995,413,322","46.05","46.50","46.00","46.00","+0.20","6,624",
"106/06/13","17,416,253","806,009,538","46.40","46.45","46.20","46.25","+0.25","4,607",
"106/06/14","16,877,026","779,372,023","46.20","46.35","46.00","46.25"," 0.00","3,719",
"106/06/15","7,800,181","360,472,708","46.10","46.35","46.05","46.30","+0.05","2,540",
"106/06/16","12,755,296","590,709,117","46.30","46.35","46.20","46.35","+0.05","4,400",
"106/06/19","15,484,637","722,416,525","46.40","46.80","46.40","46.80","+0.45","6,192",
"106/06/20","17,767,530","836,936,388","46.90","47.45","46.80","47.45","+0.65","6,255",
"106/06/21","17,468,948","827,085,409","47.45","47.55","47.10","47.40","-0.05","6,633",
"106/06/22","10,579,451","500,176,528","47.25","47.40","47.20","47.25","-0.15","3,359",
"106/06/23","11,131,714","525,250,551","47.10","47.40","47.05","47.40","+0.15","3,727",
"106/06/26","33,176,157","1,596,512,521","47.50","48.40","47.50","48.40","+1.00","10,644",
"106/06/27","27,571,069","1,336,559,445","48.50","48.70","48.10","48.40"," 0.00","9,841",
"106/06/28","26,647,420","1,281,583,685","48.30","48.50","47.85","47.85","-0.55","7,284",
"106/06/29","25,503,357","1,234,685,891","48.45","48.65","48.25","48.35","+0.50","7,053",
"106/06/30","37,311,492","1,804,151,948","48.25","48.50","48.15","48.45","+0.10","8,554",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

