"97年08月 2882 國泰金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 97/08/01","22,572,065","1,343,076,950","58.40","60.90","58.20","60.90","+1.30","6,458",
" 97/08/04","16,391,665","990,067,845","60.90","61.20","59.70","60.10","-0.80","5,487",
" 97/08/05","23,874,846","1,416,301,837","61.00","61.00","58.60","58.60","-1.50","6,034",
" 97/08/06","29,952,248","1,814,617,903","60.00","61.10","59.70","60.60","+2.00","6,789",
" 97/08/07","14,679,051","886,289,772","59.90","61.00","59.80","60.40","-0.20","4,271",
" 97/08/08","37,460,125","2,323,808,175","59.50","63.50","59.50","63.00","+2.60","11,782",
" 97/08/11","35,842,044","2,323,374,680","63.90","66.00","63.40","65.30","+2.30","11,212",
" 97/08/12","13,776,727","892,231,413","65.30","65.50","63.90","64.70","-0.60","4,725",
" 97/08/13","18,019,777","1,150,176,032","64.10","64.10","63.50","63.90","-0.80","4,953",
" 97/08/14","16,250,847","1,052,149,165","63.50","65.30","63.40","64.80","+0.90","5,970",
" 97/08/15","19,215,705","1,236,309,840","65.30","65.70","63.00","63.20","-1.60","6,262",
" 97/08/18","19,762,341","1,210,785,101","62.60","63.00","60.20","61.00","-2.20","6,952",
" 97/08/19","20,065,757","1,208,503,334","60.00","60.80","59.70","60.20","-0.80","6,797",
" 97/08/20","15,148,855","918,883,880","60.00","61.50","59.50","61.40","+1.20","4,498",
" 97/08/21","25,016,441","1,494,990,960","60.00","60.70","59.00","59.10","-2.30","7,978",
" 97/08/22","21,605,302","1,283,124,760","60.00","60.50","58.60","59.00","-0.10","6,839",
" 97/08/25","15,824,737","955,028,291","59.50","61.10","59.40","60.80","+1.80","4,851",
" 97/08/26","12,651,059","755,919,709","60.00","60.10","59.50","59.60","-1.20","4,438",
" 97/08/27","19,327,748","1,182,417,927","59.80","61.80","59.80","61.30","+1.70","6,810",
" 97/08/28","18,380,331","1,121,731,212","61.70","62.10","60.40","60.50","-0.80","5,325",
" 97/08/29","24,110,803","1,478,778,883","61.10","62.00","60.70","60.80","+0.30","6,113",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

