"9704る 2883 秨祇           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 97/04/01","30,779,990","425,792,792","14.10","14.10","13.60","13.60","-0.40","4,113",
" 97/04/02","30,973,450","431,272,050","13.90","14.05","13.80","14.05","+0.45","5,152",
" 97/04/03","25,021,598","349,709,044","14.05","14.10","13.85","14.05"," 0.00","3,875",
" 97/04/07","38,465,679","545,968,917","14.00","14.30","14.00","14.30","+0.25","5,146",
" 97/04/08","17,457,898","246,981,226","14.30","14.30","14.05","14.10","-0.20","2,515",
" 97/04/09","17,112,838","240,584,373","14.10","14.20","13.90","13.95","-0.15","2,513",
" 97/04/10","14,040,029","197,454,996","13.90","14.15","13.90","14.15","+0.20","2,321",
" 97/04/11","44,143,597","625,992,962","14.15","14.30","14.00","14.25","+0.10","5,850",
" 97/04/14","36,569,881","522,099,075","14.20","14.45","14.10","14.20","-0.05","5,188",
" 97/04/15","26,047,301","369,918,552","14.15","14.30","14.10","14.25","+0.05","3,145",
" 97/04/16","169,737,136","2,551,429,316","14.50","15.20","14.50","15.20","+0.95","22,542",
" 97/04/17","130,338,277","1,991,146,905","15.30","15.45","15.05","15.10","-0.10","16,450",
" 97/04/18","47,325,040","710,919,350","15.10","15.20","14.90","15.00","-0.10","7,310",
" 97/04/21","50,993,975","767,965,660","15.15","15.30","14.80","14.85","-0.15","6,826",
" 97/04/22","21,174,822","314,570,652","14.90","15.00","14.80","14.80","-0.05","3,360",
" 97/04/23","27,422,166","403,961,498","14.80","14.90","14.60","14.70","-0.10","4,130",
" 97/04/24","25,755,423","382,440,701","14.70","14.95","14.65","14.80","+0.10","3,478",
" 97/04/25","22,730,677","334,752,861","14.90","14.95","14.55","14.65","-0.15","3,476",
" 97/04/28","29,038,866","430,961,379","14.65","14.95","14.65","14.95","+0.30","3,802",
" 97/04/29","34,458,747","505,606,240","15.00","15.00","14.35","14.35","-0.60","4,726",
" 97/04/30","22,824,000","329,470,081","14.50","14.55","14.25","14.25","-0.10","3,575",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

