"106年09月 2883 開發金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/09/01","24,666,140","232,438,768","9.47","9.47","9.38","9.40","-0.02","5,207",
"106/09/04","18,485,789","172,624,000","9.36","9.37","9.30","9.33","-0.07","3,211",
"106/09/05","28,101,199","261,634,684","9.33","9.35","9.29","9.34","+0.01","3,628",
"106/09/06","27,197,518","253,789,537","9.30","9.39","9.29","9.33","-0.01","4,240",
"106/09/07","26,802,552","249,498,374","9.36","9.38","9.27","9.30","-0.03","4,444",
"106/09/08","112,175,872","1,065,932,310","9.37","9.64","9.32","9.58","+0.28","16,615",
"106/09/11","46,744,107","449,666,332","9.65","9.70","9.51","9.64","+0.06","15,027",
"106/09/12","27,308,537","261,787,095","9.68","9.68","9.54","9.58","-0.06","5,105",
"106/09/13","21,079,788","200,711,117","9.52","9.60","9.50","9.50","-0.08","4,665",
"106/09/14","17,832,767","168,799,760","9.48","9.52","9.42","9.46","-0.04","3,693",
"106/09/15","35,580,468","338,100,376","9.43","9.54","9.40","9.54","+0.08","4,668",
"106/09/18","23,755,262","225,419,896","9.54","9.54","9.43","9.53","-0.01","5,505",
"106/09/19","23,548,439","222,571,905","9.54","9.55","9.41","9.42","-0.11","5,044",
"106/09/20","29,113,166","271,938,602","9.42","9.44","9.30","9.35","-0.07","7,525",
"106/09/21","19,756,140","186,330,571","9.35","9.50","9.35","9.45","+0.10","3,963",
"106/09/22","20,938,776","196,253,328","9.44","9.45","9.32","9.34","-0.11","3,976",
"106/09/25","30,614,931","281,160,333","9.34","9.34","9.09","9.12","-0.22","6,290",
"106/09/26","17,344,706","158,802,444","9.11","9.20","9.10","9.13","+0.01","3,132",
"106/09/27","12,625,586","115,850,535","9.15","9.22","9.13","9.15","+0.02","3,079",
"106/09/28","21,542,433","196,842,613","9.16","9.20","9.10","9.12","-0.03","3,222",
"106/09/29","12,175,418","110,957,877","9.12","9.16","9.10","9.10","-0.02","2,360",
"106/09/30","3,469,010","31,671,806","9.13","9.16","9.11","9.11","+0.01","927",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

