"9810る 2884 ド           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 98/10/01","46,711,280","645,624,484","13.80","14.10","13.55","13.70","+0.30","6,495",
" 98/10/02","33,662,554","455,230,850","13.30","13.80","13.20","13.70"," 0.00","4,529",
" 98/10/05","12,585,134","170,523,804","13.70","13.75","13.35","13.55","-0.15","2,413",
" 98/10/06","24,420,182","328,217,008","13.60","13.70","13.15","13.50","-0.05","3,911",
" 98/10/07","26,218,751","361,166,668","13.65","14.00","13.50","13.65","+0.15","4,263",
" 98/10/08","15,508,661","212,839,102","13.65","13.90","13.50","13.50","-0.15","2,957",
" 98/10/09","17,724,507","244,927,528","13.70","14.00","13.65","13.80","+0.30","2,702",
" 98/10/12","6,008,464","82,195,031","13.80","13.80","13.60","13.75","-0.05","1,389",
" 98/10/13","13,341,631","179,165,797","13.50","13.60","13.25","13.50","-0.25","2,248",
" 98/10/14","13,012,296","177,405,383","13.60","13.85","13.30","13.85","+0.35","2,721",
" 98/10/15","73,737,031","1,071,573,284","14.20","14.80","14.20","14.50","+0.65","7,379",
" 98/10/16","24,398,512","355,164,609","14.65","14.75","14.35","14.45","-0.05","3,697",
" 98/10/19","12,747,237","184,478,857","14.35","14.60","14.30","14.35","-0.10","1,990",
" 98/10/20","24,913,225","368,887,710","14.50","15.00","14.40","14.95","+0.60","3,921",
" 98/10/21","14,447,852","210,855,745","14.80","14.90","14.40","14.40","-0.55","3,176",
" 98/10/22","15,310,059","215,735,243","14.40","14.55","13.90","13.95","-0.45","3,427",
" 98/10/23","8,481,339","119,425,703","14.00","14.20","13.90","14.15","+0.20","1,606",
" 98/10/26","9,147,604","131,366,900","14.30","14.60","14.10","14.15"," 0.00","2,308",
" 98/10/27","12,673,217","175,185,752","14.10","14.10","13.65","13.90","-0.25","2,420",
" 98/10/28","18,711,090","255,728,407","13.80","13.90","13.55","13.60","-0.30","2,536",
" 98/10/29","19,429,339","251,300,511","13.30","13.35","12.70","12.95","-0.65","3,476",
" 98/10/30","12,999,859","169,416,611","13.30","13.30","12.90","12.90","-0.05","2,360",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

