"10004る 2885 じ           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"100/04/01","13,892,123","291,615,083","21.15","21.15","20.80","21.05","-0.10","2,687",
"100/04/06","24,890,453","528,955,818","21.30","21.35","21.10","21.30","+0.25","6,156",
"100/04/07","16,432,192","347,933,252","21.45","21.45","21.00","21.30"," 0.00","3,109",
"100/04/08","27,704,043","592,586,428","21.30","21.55","21.15","21.40","+0.10","4,026",
"100/04/11","92,564,343","1,960,400,547","22.00","22.00","20.45","20.65","-0.75","14,200",
"100/04/12","68,669,454","1,390,381,523","20.45","20.80","19.95","20.00","-0.65","14,588",
"100/04/13","54,999,764","1,091,183,571","19.95","20.15","19.70","19.80","-0.20","9,565",
"100/04/14","67,182,586","1,319,193,912","19.80","19.95","19.50","19.55","-0.25","10,279",
"100/04/15","48,362,350","958,346,984","19.60","20.10","19.55","19.55"," 0.00","7,665",
"100/04/18","30,624,940","609,128,433","19.90","20.05","19.75","19.75","+0.20","5,040",
"100/04/19","24,881,296","487,637,855","19.70","19.75","19.50","19.60","-0.15","4,147",
"100/04/20","43,470,754","866,504,260","19.85","20.05","19.80","20.00","+0.40","6,032",
"100/04/21","78,934,718","1,611,178,760","20.25","20.55","20.20","20.45","+0.45","10,134",
"100/04/22","44,312,109","907,145,354","20.60","20.60","20.35","20.50","+0.05","5,275",
"100/04/25","39,430,903","811,837,972","20.65","20.70","20.50","20.55","+0.05","4,413",
"100/04/26","34,523,265","695,923,630","20.25","20.35","20.00","20.20","-0.35","4,262",
"100/04/27","37,221,652","763,464,970","20.45","20.60","20.25","20.50","+0.30","5,293",
"100/04/28","29,001,351","594,161,799","20.60","20.70","20.30","20.30","-0.20","4,072",
"100/04/29","53,286,786","1,071,179,107","20.40","20.40","19.85","19.90","-0.40","6,927",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

