"106年11月 2885 元大金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/11/01","13,626,814","183,200,371","13.45","13.50","13.40","13.45","+0.05","2,739",
"106/11/02","9,663,763","129,996,159","13.40","13.50","13.40","13.45"," 0.00","2,260",
"106/11/03","10,608,141","142,273,098","13.45","13.45","13.35","13.45"," 0.00","2,492",
"106/11/06","9,035,242","120,678,190","13.35","13.45","13.30","13.30","-0.15","1,657",
"106/11/07","8,168,052","109,177,176","13.30","13.40","13.30","13.40","+0.10","1,983",
"106/11/08","7,025,535","94,047,331","13.40","13.45","13.35","13.40"," 0.00","1,832",
"106/11/09","14,616,369","194,468,406","13.40","13.45","13.25","13.25","-0.15","2,058",
"106/11/10","5,988,144","79,682,577","13.30","13.35","13.25","13.30","+0.05","992",
"106/11/13","28,329,318","380,253,022","13.30","13.50","13.30","13.40","+0.10","3,353",
"106/11/14","34,110,898","460,760,942","13.50","13.60","13.45","13.45","+0.05","4,875",
"106/11/15","13,487,344","180,455,908","13.45","13.50","13.30","13.35","-0.10","3,728",
"106/11/16","11,439,609","153,098,697","13.30","13.45","13.30","13.40","+0.05","2,587",
"106/11/17","14,441,310","194,375,624","13.45","13.50","13.40","13.50","+0.10","2,828",
"106/11/20","36,463,224","496,169,091","13.50","13.70","13.45","13.70","+0.20","4,790",
"106/11/21","49,484,939","688,185,474","13.70","14.00","13.70","13.90","+0.20","7,225",
"106/11/22","54,056,192","761,878,396","14.00","14.15","14.00","14.10","+0.20","8,988",
"106/11/23","26,190,160","367,523,424","14.15","14.15","13.95","13.95","-0.15","5,771",
"106/11/24","51,820,541","712,405,367","13.85","13.90","13.60","13.80","-0.15","6,056",
"106/11/27","12,148,427","167,374,614","13.90","13.90","13.70","13.75","-0.05","2,304",
"106/11/28","12,470,605","172,209,804","13.75","13.90","13.75","13.90","+0.15","2,629",
"106/11/29","17,049,608","237,473,552","13.90","14.00","13.85","13.95","+0.05","3,976",
"106/11/30","25,396,361","352,948,018","13.95","14.00","13.85","13.90","-0.05","2,549",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

