"93年03月 2886 兆豐金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 93/03/01","239,938,610","6,050,593,182","24.60","25.50","24.60","25.50","+1.20","24,305",
" 93/03/02","126,378,906","3,208,560,470","25.80","25.90","25.00","25.50"," 0.00","15,013",
" 93/03/03","92,345,991","2,345,849,426","25.50","25.60","25.10","25.20","-0.30","11,800",
" 93/03/04","125,351,436","3,193,495,825","25.20","25.80","25.10","25.50","+0.30","12,343",
" 93/03/05","125,768,539","3,162,523,342","25.50","25.60","24.30","24.40","-1.10","15,775",
" 93/03/08","89,258,937","2,182,065,746","24.80","24.80","24.10","24.10","-0.30","11,019",
" 93/03/09","76,379,215","1,877,536,195","24.30","24.90","24.20","24.90","+0.80","9,167",
" 93/03/10","103,942,478","2,602,367,616","25.10","25.30","24.70","24.80","-0.10","13,005",
" 93/03/11","68,515,096","1,689,170,759","24.60","24.90","24.40","24.80"," 0.00","7,634",
" 93/03/12","71,115,118","1,738,285,062","24.40","24.70","24.20","24.50","-0.30","8,420",
" 93/03/15","120,735,259","2,893,109,259","24.80","24.80","22.80","22.90","-1.60","13,263",
" 93/03/16","118,896,144","2,686,163,987","22.60","23.00","22.30","22.40","-0.50","13,148",
" 93/03/17","78,596,517","1,763,865,540","22.70","22.80","22.10","22.10","-0.30","8,667",
" 93/03/18","102,701,765","2,325,947,567","22.20","23.00","22.10","22.80","+0.70","9,700",
" 93/03/19","89,314,817","2,010,356,981","22.80","22.90","22.30","22.30","-0.50","10,883",
" 93/03/22","208,758,999","4,349,375,389","20.80","21.30","20.80","20.80","-1.50","25,922",
" 93/03/23","216,164,772","4,609,998,170","21.00","22.10","20.60","21.40","+0.60","30,033",
" 93/03/24","105,907,123","2,311,519,397","21.90","22.10","21.50","22.00","+0.60","15,116",
" 93/03/25","90,599,059","1,993,097,505","22.00","22.20","21.70","22.00"," 0.00","11,303",
" 93/03/26","50,066,802","1,091,573,594","22.10","22.20","21.60","21.60","-0.40","7,637",
" 93/03/29","97,549,504","2,215,623,387","22.80","23.00","22.20","22.90","+1.30","13,610",
" 93/03/30","71,342,805","1,620,768,204","22.80","22.90","22.50","22.60","-0.30","9,637",
" 93/03/31","86,501,664","1,973,894,830","22.70","23.10","22.50","22.60"," 0.00","11,314",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

