"10502る 2887 穝           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/02/01","16,098,362","173,945,413","10.80","10.90","10.70","10.90"," 0.00","3,408",
"105/02/02","22,660,832","244,566,765","10.95","10.95","10.70","10.75","-0.15","4,303",
"105/02/03","23,737,713","250,187,444","10.70","10.70","10.40","10.55","-0.20","4,523",
"105/02/15","24,547,201","256,465,789","10.45","10.55","10.35","10.40","-0.15","5,040",
"105/02/16","24,367,312","262,094,703","10.50","10.90","10.50","10.90","+0.50","4,491",
"105/02/17","12,961,568","140,559,531","10.95","11.00","10.75","10.85","-0.05","2,716",
"105/02/18","15,616,353","170,945,065","11.00","11.05","10.90","10.95","+0.10","3,616",
"105/02/19","18,254,157","196,699,913","10.85","10.90","10.70","10.75","-0.20","3,727",
"105/02/22","10,949,680","118,815,765","10.80","10.95","10.75","10.85","+0.10","2,799",
"105/02/23","14,400,657","156,935,579","10.90","10.95","10.80","10.95","+0.10","2,131",
"105/02/24","12,896,860","139,552,108","10.90","10.95","10.75","10.75","-0.20","2,748",
"105/02/25","13,590,623","147,419,818","10.85","10.90","10.75","10.85","+0.10","2,527",
"105/02/26","14,822,276","162,199,226","10.90","11.00","10.85","11.00","+0.15","2,237",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

