"9103る 2888 穝           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 91/03/01","4,150,761","83,144,298","20.20","20.20","19.90","20.00"," 0.00","729",
" 91/03/04","6,743,234","137,166,435","20.10","20.60","20.00","20.50","+0.50","1,309",
" 91/03/05","5,976,955","121,889,427","20.60","20.70","20.00","20.50"," 0.00","1,027",
" 91/03/06","3,964,712","80,595,719","20.40","20.50","20.10","20.20","-0.30","762",
" 91/03/07","9,345,891","192,238,445","20.30","20.80","20.30","20.30","+0.10","1,519",
" 91/03/08","4,846,795","99,029,773","20.50","20.70","20.10","20.30"," 0.00","873",
" 91/03/11","7,441,116","152,882,098","20.40","20.70","20.40","20.40","+0.10","1,174",
" 91/03/12","14,807,937","306,022,704","20.50","21.00","20.40","20.40"," 0.00","2,021",
" 91/03/13","7,183,660","146,256,883","20.50","20.60","20.10","20.10","-0.30","1,041",
" 91/03/14","4,816,200","97,072,314","20.10","20.40","20.00","20.00","-0.10","872",
" 91/03/15","6,349,574","127,287,796","20.20","20.30","19.80","20.00"," 0.00","869",
" 91/03/18","3,304,721","65,879,633","20.00","20.10","19.80","19.90","-0.10","531",
" 91/03/19","7,741,379","154,318,091","19.90","20.20","19.80","20.10","+0.20","808",
" 91/03/20","3,749,041","74,858,619","20.20","20.20","19.80","20.00","-0.10","779",
" 91/03/21","3,180,322","63,164,084","19.90","20.00","19.80","19.90","-0.10","648",
" 91/03/22","10,942,432","221,147,243","20.00","20.50","19.90","20.10","+0.20","1,822",
" 91/03/25","12,042,510","247,522,663","20.40","20.80","20.40","20.40","+0.30","2,038",
" 91/03/26","6,315,908","127,703,872","20.50","20.50","20.10","20.10","-0.30","1,143",
" 91/03/27","22,504,044","468,339,671","20.30","21.30","20.30","20.50","+0.40","3,518",
" 91/03/28","9,953,524","204,328,492","20.90","20.90","20.30","20.40","-0.10","1,642",
" 91/03/29","7,551,841","155,153,642","20.80","20.80","20.30","20.40"," 0.00","1,286",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

